start,end,duration_s,max_elevation_deg
2020-01-01T00:06:00Z,2020-01-01T00:12:30Z,390.0,68.82229683913819
2020-01-01T11:40:00Z,2020-01-01T11:42:30Z,150.0,11.904035643312389
2020-01-01T13:12:00Z,2020-01-01T13:18:00Z,360.0,32.64199967700519
2020-01-01T23:46:00Z,2020-01-01T23:53:00Z,420.0,58.03255118759373
2020-01-02T12:52:00Z,2020-01-02T12:59:00Z,420.0,62.98732675167877
2020-01-02T23:27:00Z,2020-01-02T23:33:00Z,360.0,30.57331471987879
2020-01-03T01:02:30Z,2020-01-03T01:05:30Z,180.0,12.7767574591346
2020-01-03T12:32:30Z,2020-01-03T12:39:30Z,420.0,65.09836959520209
2020-01-03T23:08:30Z,2020-01-03T23:13:00Z,270.0,17.56038973806519
2020-01-04T00:41:30Z,2020-01-04T00:47:00Z,330.0,22.94440298115256
2020-01-04T12:13:00Z,2020-01-04T12:19:30Z,390.0,33.239376375821266
2020-01-04T13:48:00Z,2020-01-04T13:51:00Z,180.0,12.355774136188277
2020-01-05T00:21:00Z,2020-01-05T00:27:30Z,390.0,42.04869857659525
2020-01-05T11:54:00Z,2020-01-05T11:59:00Z,300.0,18.60350922334643
2020-01-05T13:27:30Z,2020-01-05T13:32:30Z,300.0,21.393937258972514
2020-01-06T00:01:30Z,2020-01-06T00:08:00Z,390.0,79.2763008157604
2020-01-06T11:36:30Z,2020-01-06T11:37:00Z,30.0,10.122027998672412
2020-01-06T13:07:30Z,2020-01-06T13:13:30Z,360.0,38.12794213465369
2020-01-06T23:42:00Z,2020-01-06T23:48:30Z,390.0,48.7975305407154
2020-01-07T12:47:30Z,2020-01-07T12:54:30Z,420.0,75.09819297998115
2020-01-07T23:22:30Z,2020-01-07T23:28:30Z,360.0,26.42243037460726
