architecture_name,rate_bps,scene_bytes,contact_duration_s,processing_time_s,tfup_s,tcp_s,bytes_transmitted,processing_energy_j,tx_energy_j,contact_utilization
GroundOnly,1000000.0,1000000000.0,300,20,300.0,300.0,37500000,0.0,7500.0,1.0
GroundOnly,5000000.0,1000000000.0,300,20,300.0,300.0,187500000,0.0,7500.0,1.0
GroundOnly,10000000.0,1000000000.0,300,20,300.0,300.0,375000000,0.0,7500.0,1.0
GroundOnly,25000000.0,1000000000.0,300,20,300.0,300.0,937500000,0.0,7500.0,1.0
GroundOnly,50000000.0,1000000000.0,300,20,160.0,160.0,1000000000,0.0,4000.0,0.5333333333333333
GroundOnly,100000000.0,1000000000.0,300,20,80.0,80.0,1000000000,0.0,2000.0,0.26666666666666666
CompressedFull,1000000.0,1000000000.0,300,20,320.0,320.0,37500000,300.0,7500.0,1.0
CompressedFull,5000000.0,1000000000.0,300,20,320.0,320.0,187500000,300.0,7500.0,1.0
CompressedFull,10000000.0,1000000000.0,300,20,260.0,260.0,300000000,300.0,6000.0,0.8
CompressedFull,25000000.0,1000000000.0,300,20,116.0,116.0,300000000,300.0,2400.0,0.32
CompressedFull,50000000.0,1000000000.0,300,20,68.0,68.0,300000000,300.0,1200.0,0.16
CompressedFull,100000000.0,1000000000.0,300,20,44.0,44.0,300000000,300.0,600.0,0.08
QuicklookFirst,1000000.0,1000000000.0,300,20,162.0,162.0,20000000,30.0,4000.0,0.5333333333333333
QuicklookFirst,5000000.0,1000000000.0,300,20,34.0,34.0,20000000,30.0,800.0,0.10666666666666667
QuicklookFirst,10000000.0,1000000000.0,300,20,18.0,18.0,20000000,30.0,400.0,0.05333333333333334
QuicklookFirst,25000000.0,1000000000.0,300,20,8.4,8.4,20000000,30.0,160.0,0.021333333333333333
QuicklookFirst,50000000.0,1000000000.0,300,20,5.2,165.2,1020000000,30.0,4079.9999999999995,0.544
QuicklookFirst,100000000.0,1000000000.0,300,20,3.6,83.6,1020000000,30.0,2039.9999999999998,0.272
RoiFirst,1000000.0,1000000000.0,300,20,820.0,820.0,100000000,300.0,20000.0,2.6666666666666665
RoiFirst,5000000.0,1000000000.0,300,20,180.0,180.0,100000000,300.0,4000.0,0.5333333333333333
RoiFirst,10000000.0,1000000000.0,300,20,100.0,100.0,100000000,300.0,2000.0,0.26666666666666666
RoiFirst,25000000.0,1000000000.0,300,20,52.0,52.0,100000000,300.0,800.0,0.10666666666666667
RoiFirst,50000000.0,1000000000.0,300,20,36.0,196.0,1100000000,300.0,4400.0,0.5866666666666667
RoiFirst,100000000.0,1000000000.0,300,20,28.0,108.0,1100000000,300.0,2200.0,0.29333333333333333
Progressive,1000000.0,1000000000.0,300,20,20.16384,108.244224,11030528,300.0,2206.1056,0.29414741333333333
Progressive,5000000.0,1000000000.0,300,20,20.032768,121.5349248,63459328,300.0,2538.37312,0.3384497493333333
Progressive,10000000.0,1000000000.0,300,20,20.016384,70.7674624,63459328,300.0,1269.18656,0.16922487466666666
Progressive,25000000.0,1000000000.0,300,20,20.0065536,40.306984959999994,63459328,300.0,507.67462399999994,0.06768994986666667
Progressive,50000000.0,1000000000.0,300,20,20.0032768,190.15349248,1063459328,300.0,4253.837312000001,0.5671783082666667
Progressive,100000000.0,1000000000.0,300,20,20.0016384,105.07674624,1063459328,300.0,2126.9186560000003,0.28358915413333335
