capacity_bytes,adaptive_tfup_s,best_static_tfup_s,chosen_policy,arch_name
50000000,30.016384,30.016384,quicklook_roi,Progressive
100000000,30.016384,30.016384,quicklook_roi,Progressive
150000000,30.016384,30.016384,quicklook_roi,Progressive
200000000,30.016384,30.016384,quicklook_roi,Progressive
250000000,30.016384,30.016384,quicklook_roi,Progressive
300000000,30.016384,30.016384,quicklook_roi,Progressive
350000000,30.016384,30.016384,quicklook_roi,Progressive
400000000,270.0,30.016384,compressed_full,CompressedFull
450000000,270.0,30.016384,compressed_full,CompressedFull
500000000,270.0,30.016384,compressed_full,CompressedFull
550000000,270.0,30.016384,compressed_full,CompressedFull
600000000,270.0,30.016384,compressed_full,CompressedFull
650000000,270.0,30.016384,compressed_full,CompressedFull
700000000,270.0,30.016384,compressed_full,CompressedFull
750000000,270.0,30.016384,compressed_full,CompressedFull
800000000,270.0,30.016384,compressed_full,CompressedFull
850000000,270.0,30.016384,compressed_full,CompressedFull
900000000,270.0,30.016384,compressed_full,CompressedFull
950000000,270.0,30.016384,compressed_full,CompressedFull
1000000000,270.0,30.016384,compressed_full,CompressedFull
1050000000,270.0,30.016384,compressed_full,CompressedFull
1100000000,270.0,30.016384,compressed_full,CompressedFull
1150000000,270.0,30.016384,compressed_full,CompressedFull
1200000000,270.0,30.016384,compressed_full,CompressedFull
