contact_duration_s,rate_bps,architecture_id,tcp_s
120,1000000,A0_GROUND_ONLY,120.0
120,1000000,A1_COMPRESSED_FULL,140.0
120,1000000,A2_QUICKLOOK_FIRST,162.0
120,1000000,A3_ROI_FIRST,820.0
120,1000000,A4_PROGRESSIVE,108.244224
120,5000000,A0_GROUND_ONLY,120.0
120,5000000,A1_COMPRESSED_FULL,140.0
120,5000000,A2_QUICKLOOK_FIRST,34.0
120,5000000,A3_ROI_FIRST,180.0
120,5000000,A4_PROGRESSIVE,121.5349248
120,10000000,A0_GROUND_ONLY,120.0
120,10000000,A1_COMPRESSED_FULL,140.0
120,10000000,A2_QUICKLOOK_FIRST,18.0
120,10000000,A3_ROI_FIRST,100.0
120,10000000,A4_PROGRESSIVE,70.7674624
120,25000000,A0_GROUND_ONLY,120.0
120,25000000,A1_COMPRESSED_FULL,116.0
120,25000000,A2_QUICKLOOK_FIRST,8.4
120,25000000,A3_ROI_FIRST,52.0
120,25000000,A4_PROGRESSIVE,40.306984959999994
120,50000000,A0_GROUND_ONLY,120.0
120,50000000,A1_COMPRESSED_FULL,68.0
120,50000000,A2_QUICKLOOK_FIRST,5.2
120,50000000,A3_ROI_FIRST,36.0
120,50000000,A4_PROGRESSIVE,30.153492479999997
120,100000000,A0_GROUND_ONLY,80.0
120,100000000,A1_COMPRESSED_FULL,44.0
120,100000000,A2_QUICKLOOK_FIRST,83.6
120,100000000,A3_ROI_FIRST,108.0
120,100000000,A4_PROGRESSIVE,105.07674624
180,1000000,A0_GROUND_ONLY,180.0
180,1000000,A1_COMPRESSED_FULL,200.0
180,1000000,A2_QUICKLOOK_FIRST,162.0
180,1000000,A3_ROI_FIRST,820.0
180,1000000,A4_PROGRESSIVE,108.244224
180,5000000,A0_GROUND_ONLY,180.0
180,5000000,A1_COMPRESSED_FULL,200.0
180,5000000,A2_QUICKLOOK_FIRST,34.0
180,5000000,A3_ROI_FIRST,180.0
180,5000000,A4_PROGRESSIVE,121.5349248
180,10000000,A0_GROUND_ONLY,180.0
180,10000000,A1_COMPRESSED_FULL,200.0
180,10000000,A2_QUICKLOOK_FIRST,18.0
180,10000000,A3_ROI_FIRST,100.0
180,10000000,A4_PROGRESSIVE,70.7674624
180,25000000,A0_GROUND_ONLY,180.0
180,25000000,A1_COMPRESSED_FULL,116.0
180,25000000,A2_QUICKLOOK_FIRST,8.4
180,25000000,A3_ROI_FIRST,52.0
