architecture_name,rate_bps,scene_bytes,contact_duration_s,processing_time_s,tfup_s,tcp_s,bytes_transmitted,processing_energy_j,tx_energy_j,contact_utilization,completed,fidelity_lossy,fidelity_resolution_class
GroundOnly,1000000.0,1000000000.0,300,20,nan,nan,37500000,0.0,7500.0,1.0,False,False,full_res
GroundOnly,5000000.0,1000000000.0,300,20,nan,nan,187500000,0.0,7500.0,1.0,False,False,full_res
GroundOnly,10000000.0,1000000000.0,300,20,nan,nan,375000000,0.0,7500.0,1.0,False,False,full_res
GroundOnly,25000000.0,1000000000.0,300,20,nan,nan,937500000,0.0,7500.0,1.0,False,False,full_res
GroundOnly,50000000.0,1000000000.0,300,20,160.0,160.0,1000000000,0.0,4000.0,0.5333333333333333,True,False,full_res
GroundOnly,100000000.0,1000000000.0,300,20,80.0,80.0,1000000000,0.0,2000.0,0.26666666666666666,True,False,full_res
CompressedFull,1000000.0,1000000000.0,300,20,nan,nan,37500000,300.0,7500.0,1.0,False,True,full_res
CompressedFull,5000000.0,1000000000.0,300,20,nan,nan,187500000,300.0,7500.0,1.0,False,True,full_res
CompressedFull,10000000.0,1000000000.0,300,20,260.0,260.0,300000000,300.0,6000.0,0.8,True,True,full_res
CompressedFull,25000000.0,1000000000.0,300,20,116.0,116.0,300000000,300.0,2400.0,0.32,True,True,full_res
CompressedFull,50000000.0,1000000000.0,300,20,68.0,68.0,300000000,300.0,1200.0,0.16,True,True,full_res
CompressedFull,100000000.0,1000000000.0,300,20,44.0,44.0,300000000,300.0,600.0,0.08,True,True,full_res
QuicklookFirst,1000000.0,1000000000.0,300,20,162.0,nan,37500000,30.0,4000.0,1.0,False,True,reduced
QuicklookFirst,5000000.0,1000000000.0,300,20,34.0,nan,187500000,30.0,800.0,1.0,False,True,reduced
QuicklookFirst,10000000.0,1000000000.0,300,20,18.0,nan,375000000,30.0,400.0,1.0,False,True,reduced
QuicklookFirst,25000000.0,1000000000.0,300,20,8.4,nan,937500000,30.0,160.0,1.0,False,True,reduced
QuicklookFirst,50000000.0,1000000000.0,300,20,5.2,165.2,1020000000,30.0,4079.9999999999995,0.544,True,True,full_res
QuicklookFirst,100000000.0,1000000000.0,300,20,3.6,83.6,1020000000,30.0,2039.9999999999998,0.272,True,True,full_res
RoiFirst,1000000.0,1000000000.0,300,20,nan,nan,37500000,300.0,7500.0,1.0,False,True,roi_full_res
RoiFirst,5000000.0,1000000000.0,300,20,180.0,nan,187500000,300.0,4000.0,1.0,False,True,roi_full_res
RoiFirst,10000000.0,1000000000.0,300,20,100.0,nan,375000000,300.0,2000.0,1.0,False,True,roi_full_res
RoiFirst,25000000.0,1000000000.0,300,20,52.0,nan,937500000,300.0,800.0,1.0,False,True,roi_full_res
RoiFirst,50000000.0,1000000000.0,300,20,36.0,196.0,1100000000,300.0,4400.0,0.5866666666666667,True,True,full_res
RoiFirst,100000000.0,1000000000.0,300,20,28.0,108.0,1100000000,300.0,2200.0,0.29333333333333333,True,True,full_res
Progressive,1000000.0,1000000000.0,300,20,20.16384,nan,11030528,300.0,2206.1056,0.29414741333333333,False,True,reduced
Progressive,5000000.0,1000000000.0,300,20,20.032768,nan,63459328,300.0,2538.37312,0.3384497493333333,False,True,roi_full_res
Progressive,10000000.0,1000000000.0,300,20,20.016384,nan,63459328,300.0,1269.18656,0.16922487466666666,False,True,roi_full_res
Progressive,25000000.0,1000000000.0,300,20,20.0065536,nan,63459328,300.0,507.67462399999994,0.06768994986666667,False,True,roi_full_res
Progressive,50000000.0,1000000000.0,300,20,20.0032768,190.15349248,1063459328,300.0,4253.837312000001,0.5671783082666667,True,True,full_res
Progressive,100000000.0,1000000000.0,300,20,20.0016384,105.07674624,1063459328,300.0,2126.9186560000003,0.28358915413333335,True,True,full_res
