contact_duration_s,architecture,tfup_s,tcp_s,bytes_transmitted,contact_utilization,processing_energy_j,tx_energy_j
120,A0_GROUND_ONLY,nan,nan,150000000,1.0,0.0,3000.0
120,A4_PROGRESSIVE,30.016384,nan,63459328,0.4230621866666667,450.0,1269.18656
180,A0_GROUND_ONLY,nan,nan,225000000,1.0,0.0,4500.0
180,A4_PROGRESSIVE,30.016384,nan,63459328,0.2820414577777778,450.0,1269.18656
240,A0_GROUND_ONLY,nan,nan,300000000,1.0,0.0,6000.0
240,A4_PROGRESSIVE,30.016384,nan,63459328,0.21153109333333334,450.0,1269.18656
300,A0_GROUND_ONLY,nan,nan,375000000,1.0,0.0,7500.0
300,A4_PROGRESSIVE,30.016384,nan,63459328,0.16922487466666666,450.0,1269.18656
360,A0_GROUND_ONLY,nan,nan,450000000,1.0,0.0,9000.0
360,A4_PROGRESSIVE,30.016384,nan,63459328,0.1410207288888889,450.0,1269.18656
420,A0_GROUND_ONLY,nan,nan,525000000,1.0,0.0,10500.0
420,A4_PROGRESSIVE,30.016384,nan,63459328,0.12087491047619048,450.0,1269.18656
480,A0_GROUND_ONLY,nan,nan,600000000,1.0,0.0,12000.0
480,A4_PROGRESSIVE,30.016384,nan,63459328,0.10576554666666667,450.0,1269.18656
540,A0_GROUND_ONLY,nan,nan,675000000,1.0,0.0,13500.0
540,A4_PROGRESSIVE,30.016384,nan,63459328,0.09401381925925927,450.0,1269.18656
600,A0_GROUND_ONLY,nan,nan,750000000,1.0,0.0,15000.0
600,A4_PROGRESSIVE,30.016384,nan,63459328,0.08461243733333333,450.0,1269.18656
