time_s,event,backlog_bytes,amount
0.0,arrival,500000000.0,500000000.0
0.0,contact,125000000.0,375000000.0
4320.0,arrival,625000000.0,500000000.0
8640.0,arrival,1125000000.0,500000000.0
12960.0,arrival,1625000000.0,500000000.0
17280.0,arrival,2125000000.0,500000000.0
21600.0,arrival,2625000000.0,500000000.0
21600.0,contact,2250000000.0,375000000.0
25920.0,arrival,2750000000.0,500000000.0
30240.0,arrival,3250000000.0,500000000.0
34560.0,arrival,3750000000.0,500000000.0
38880.0,arrival,4250000000.0,500000000.0
43200.0,arrival,4750000000.0,500000000.0
43200.0,contact,4375000000.0,375000000.0
47520.0,arrival,4875000000.0,500000000.0
51840.0,arrival,5375000000.0,500000000.0
56160.0,arrival,5875000000.0,500000000.0
60480.0,arrival,6375000000.0,500000000.0
64800.0,arrival,6875000000.0,500000000.0
64800.0,contact,6500000000.0,375000000.0
69120.0,arrival,7000000000.0,500000000.0
73440.0,arrival,7500000000.0,500000000.0
77760.0,arrival,8000000000.0,500000000.0
82080.0,arrival,8500000000.0,500000000.0
