hour,day,soc_wh,processing_paused,brownout_events,storage_used_bytes,storage_occupancy,total_physical_writes_bytes,wear_fraction,health_fraction
0,0,80.0,False,0,1073741824,0.0039,3704409292,4e-06,0.999996
1,0,60.0,False,0,2147483648,0.0078,7408818584,9e-06,0.999991
2,0,40.0,False,0,3221225472,0.0117,11113227876,1.3e-05,0.999987
3,0,20.0,False,0,4294967296,0.0156,14817637168,1.8e-05,0.999982
4,0,0.0,True,1,4294967296,0.0156,14817637168,1.8e-05,0.999982
5,0,0.0,True,1,4294967296,0.0156,14817637168,1.8e-05,0.999982
6,0,20.0,False,1,5368709120,0.0195,18522046460,2.2e-05,0.999978
7,0,40.0,False,1,6442450944,0.0234,22226455752,2.7e-05,0.999973
8,0,60.0,False,1,7516192768,0.0273,25930865044,3.1e-05,0.999969
9,0,80.0,False,1,8589934592,0.0312,29635274336,3.6e-05,0.999964
10,0,100.0,False,1,9663676416,0.0352,33339683628,4e-05,0.99996
11,0,100.0,False,1,10737418240,0.0391,37044092920,4.5e-05,0.999955
12,0,100.0,False,1,11811160064,0.043,40748502212,4.9e-05,0.999951
13,0,100.0,False,1,12884901888,0.0469,44452911504,5.4e-05,0.999946
14,0,100.0,False,1,13958643712,0.0508,48157320796,5.8e-05,0.999942
15,0,100.0,False,1,15032385536,0.0547,51861730088,6.3e-05,0.999937
16,0,100.0,False,1,16106127360,0.0586,55566139380,6.7e-05,0.999933
17,0,100.0,False,1,17179869184,0.0625,59270548672,7.2e-05,0.999928
18,0,80.0,False,1,18253611008,0.0664,62974957964,7.6e-05,0.999924
19,0,60.0,False,1,19327352832,0.0703,66679367256,8.1e-05,0.999919
20,0,40.0,False,1,20401094656,0.0742,70383776548,8.5e-05,0.999915
21,0,20.0,False,1,21474836480,0.0781,74088185840,9e-05,0.99991
22,0,0.0,True,2,21474836480,0.0781,74088185840,9e-05,0.99991
23,0,0.0,True,2,21474836480,0.0781,74088185840,9e-05,0.99991
24,1,0.0,True,2,21474836480,0.0781,74088185840,9e-05,0.99991
25,1,0.0,True,2,21474836480,0.0781,74088185840,9e-05,0.99991
26,1,0.0,True,2,21474836480,0.0781,74088185840,9e-05,0.99991
27,1,0.0,True,2,21474836480,0.0781,74088185840,9e-05,0.99991
28,1,0.0,True,2,21474836480,0.0781,74088185840,9e-05,0.99991
29,1,0.0,True,2,21474836480,0.0781,74088185840,9e-05,0.99991
30,1,20.0,False,2,22548578304,0.082,77792595132,9.4e-05,0.999906
31,1,40.0,False,2,23622320128,0.0859,81497004424,9.9e-05,0.999901
32,1,60.0,False,2,24696061952,0.0898,85201413716,0.000103,0.999897
33,1,80.0,False,2,25769803776,0.0938,88905823008,0.000108,0.999892
34,1,100.0,False,2,26843545600,0.0977,92610232300,0.000112,0.999888
35,1,100.0,False,2,27917287424,0.1016,96314641592,0.000117,0.999883
36,1,100.0,False,2,28991029248,0.1055,100019050884,0.000121,0.999879
37,1,100.0,False,2,30064771072,0.1094,103723460176,0.000126,0.999874
38,1,100.0,False,2,31138512896,0.1133,107427869468,0.00013,0.99987
39,1,100.0,False,2,32212254720,0.1172,111132278760,0.000135,0.999865
