architecture,thread,terminal_class,condition,n_trials,success_rate,success_rate_ci_lower,success_rate_ci_upper
CompressedFull,MT1_TIME_SENSITIVE_CUEING,DISMOUNTED_MANPACK,COMBINED_DEGRADED,200,0.0,0.0,0.0
CompressedFull,MT1_TIME_SENSITIVE_CUEING,DISMOUNTED_MANPACK,CONTACT_DENIAL,200,0.0,0.0,0.0
CompressedFull,MT1_TIME_SENSITIVE_CUEING,DISMOUNTED_MANPACK,INTERFERENCE,200,0.0,0.0,0.0
CompressedFull,MT1_TIME_SENSITIVE_CUEING,DISMOUNTED_MANPACK,NOMINAL,200,0.0,0.0,0.0
CompressedFull,MT1_TIME_SENSITIVE_CUEING,DISMOUNTED_MANPACK,REACHBACK_LOST,200,0.0,0.0,0.0
CompressedFull,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,COMBINED_DEGRADED,200,0.0,0.0,0.0
CompressedFull,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,CONTACT_DENIAL,200,0.0,0.0,0.0
CompressedFull,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,INTERFERENCE,200,0.0,0.0,0.0
CompressedFull,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,200,0.0,0.0,0.0
CompressedFull,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,REACHBACK_LOST,200,0.0,0.0,0.0
CompressedFull,MT2_ROUTE_RECON_FIRST,DISMOUNTED_MANPACK,COMBINED_DEGRADED,200,0.0,0.0,0.0
CompressedFull,MT2_ROUTE_RECON_FIRST,DISMOUNTED_MANPACK,CONTACT_DENIAL,200,0.0,0.0,0.0
CompressedFull,MT2_ROUTE_RECON_FIRST,DISMOUNTED_MANPACK,INTERFERENCE,200,0.0,0.0,0.0
CompressedFull,MT2_ROUTE_RECON_FIRST,DISMOUNTED_MANPACK,NOMINAL,200,0.0,0.0,0.0
CompressedFull,MT2_ROUTE_RECON_FIRST,DISMOUNTED_MANPACK,REACHBACK_LOST,200,0.0,0.0,0.0
CompressedFull,MT2_ROUTE_RECON_FIRST,VEHICLE_MOUNTED,COMBINED_DEGRADED,200,0.0,0.0,0.0
CompressedFull,MT2_ROUTE_RECON_FIRST,VEHICLE_MOUNTED,CONTACT_DENIAL,200,0.0,0.0,0.0
CompressedFull,MT2_ROUTE_RECON_FIRST,VEHICLE_MOUNTED,INTERFERENCE,200,0.0,0.0,0.0
CompressedFull,MT2_ROUTE_RECON_FIRST,VEHICLE_MOUNTED,NOMINAL,200,0.0,0.0,0.0
CompressedFull,MT2_ROUTE_RECON_FIRST,VEHICLE_MOUNTED,REACHBACK_LOST,200,0.0,0.0,0.0
CompressedFull,MT4_PERSISTENT_MONITORING,DISMOUNTED_MANPACK,COMBINED_DEGRADED,200,0.0,0.0,0.0
CompressedFull,MT4_PERSISTENT_MONITORING,DISMOUNTED_MANPACK,CONTACT_DENIAL,200,0.0,0.0,0.0
CompressedFull,MT4_PERSISTENT_MONITORING,DISMOUNTED_MANPACK,INTERFERENCE,200,0.0,0.0,0.0
CompressedFull,MT4_PERSISTENT_MONITORING,DISMOUNTED_MANPACK,NOMINAL,200,0.0,0.0,0.0
CompressedFull,MT4_PERSISTENT_MONITORING,DISMOUNTED_MANPACK,REACHBACK_LOST,200,0.0,0.0,0.0
CompressedFull,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,COMBINED_DEGRADED,200,0.0,0.0,0.0
CompressedFull,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,CONTACT_DENIAL,200,0.0,0.0,0.0
