profile,rank,architecture,score
TACTICAL_USER_LEANING,1,Progressive,0.8868315102040817
TACTICAL_USER_LEANING,2,RoiFirst,0.7541804882488112
TACTICAL_USER_LEANING,3,QuicklookFirst,0.5090635451505017
TACTICAL_USER_LEANING,4,GroundOnly,0.30425170068027213
TACTICAL_USER_LEANING,5,CompressedFull,0.195
TACTICAL_USER_LEANING,6,ContactAware,0.16000000000000003
ACQUISITION_LEANING,1,Progressive,0.7567326040816326
ACQUISITION_LEANING,2,RoiFirst,0.7440724182649647
ACQUISITION_LEANING,3,GroundOnly,0.6017006802721088
ACQUISITION_LEANING,4,QuicklookFirst,0.5672909698996655
ACQUISITION_LEANING,5,CompressedFull,0.46499999999999997
ACQUISITION_LEANING,6,ContactAware,0.275
TERMINAL_OPERATOR_LEANING,1,Progressive,0.7267326040816326
TERMINAL_OPERATOR_LEANING,2,RoiFirst,0.6636878028803495
TERMINAL_OPERATOR_LEANING,3,GroundOnly,0.551700680272109
TERMINAL_OPERATOR_LEANING,4,QuicklookFirst,0.4542140468227426
TERMINAL_OPERATOR_LEANING,5,CompressedFull,0.345
TERMINAL_OPERATOR_LEANING,6,ContactAware,0.28
BALANCED,1,Progressive,0.811221006802721
BALANCED,2,RoiFirst,0.7470419159860152
BALANCED,3,QuicklookFirst,0.5636566332218506
BALANCED,4,GroundOnly,0.5028344671201813
BALANCED,5,CompressedFull,0.35
BALANCED,6,ContactAware,0.25
