architecture,thread,terminal_class,condition,n_trials,successes,success_rate,success_rate_ci_lower,success_rate_ci_upper,structural_incapacity_rate,mean_cadence_rate
CompressedFull,MT4_PERSISTENT_MONITORING,DISMOUNTED_MANPACK,COMBINED_DEGRADED,30,0,0.0,0.0,0.113517091390478,1.0,0.0
CompressedFull,MT4_PERSISTENT_MONITORING,DISMOUNTED_MANPACK,CONTACT_DENIAL,30,0,0.0,0.0,0.113517091390478,1.0,0.0
CompressedFull,MT4_PERSISTENT_MONITORING,DISMOUNTED_MANPACK,INTERFERENCE,30,0,0.0,0.0,0.113517091390478,1.0,0.0
CompressedFull,MT4_PERSISTENT_MONITORING,DISMOUNTED_MANPACK,NOMINAL,30,0,0.0,0.0,0.113517091390478,1.0,0.0
CompressedFull,MT4_PERSISTENT_MONITORING,DISMOUNTED_MANPACK,REACHBACK_LOST,30,0,0.0,0.0,0.113517091390478,1.0,0.0
CompressedFull,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,COMBINED_DEGRADED,30,0,0.0,0.0,0.113517091390478,1.0,0.0
CompressedFull,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,CONTACT_DENIAL,30,0,0.0,0.0,0.113517091390478,1.0,0.0
CompressedFull,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,INTERFERENCE,30,0,0.0,0.0,0.113517091390478,1.0,0.0
CompressedFull,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,30,0,0.0,0.0,0.113517091390478,1.0,0.0
CompressedFull,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,REACHBACK_LOST,30,0,0.0,0.0,0.113517091390478,1.0,0.0
ContactAware,MT4_PERSISTENT_MONITORING,DISMOUNTED_MANPACK,COMBINED_DEGRADED,30,0,0.0,0.0,0.113517091390478,1.0,0.0
ContactAware,MT4_PERSISTENT_MONITORING,DISMOUNTED_MANPACK,CONTACT_DENIAL,30,0,0.0,0.0,0.113517091390478,1.0,0.0
ContactAware,MT4_PERSISTENT_MONITORING,DISMOUNTED_MANPACK,INTERFERENCE,30,0,0.0,0.0,0.113517091390478,1.0,0.0
ContactAware,MT4_PERSISTENT_MONITORING,DISMOUNTED_MANPACK,NOMINAL,30,0,0.0,0.0,0.113517091390478,1.0,0.0
ContactAware,MT4_PERSISTENT_MONITORING,DISMOUNTED_MANPACK,REACHBACK_LOST,30,0,0.0,0.0,0.113517091390478,1.0,0.0
ContactAware,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,COMBINED_DEGRADED,30,0,0.0,0.0,0.113517091390478,1.0,0.0
ContactAware,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,CONTACT_DENIAL,30,0,0.0,0.0,0.113517091390478,1.0,0.0
ContactAware,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,INTERFERENCE,30,0,0.0,0.0,0.113517091390478,1.0,0.0
ContactAware,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,30,0,0.0,0.0,0.113517091390478,1.0,0.0
ContactAware,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,REACHBACK_LOST,30,0,0.0,0.0,0.113517091390478,1.0,0.0
GroundOnly,MT4_PERSISTENT_MONITORING,DISMOUNTED_MANPACK,COMBINED_DEGRADED,30,0,0.0,0.0,0.113517091390478,1.0,0.0
GroundOnly,MT4_PERSISTENT_MONITORING,DISMOUNTED_MANPACK,CONTACT_DENIAL,30,0,0.0,0.0,0.113517091390478,1.0,0.0
GroundOnly,MT4_PERSISTENT_MONITORING,DISMOUNTED_MANPACK,INTERFERENCE,30,0,0.0,0.0,0.113517091390478,1.0,0.0
GroundOnly,MT4_PERSISTENT_MONITORING,DISMOUNTED_MANPACK,NOMINAL,30,0,0.0,0.0,0.113517091390478,1.0,0.0
GroundOnly,MT4_PERSISTENT_MONITORING,DISMOUNTED_MANPACK,REACHBACK_LOST,30,0,0.0,0.0,0.113517091390478,1.0,0.0
GroundOnly,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,COMBINED_DEGRADED,30,0,0.0,0.0,0.113517091390478,1.0,0.0
GroundOnly,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,CONTACT_DENIAL,30,0,0.0,0.0,0.113517091390478,1.0,0.0
GroundOnly,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,INTERFERENCE,30,0,0.0,0.0,0.113517091390478,1.0,0.0
GroundOnly,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,30,0,0.0,0.0,0.113517091390478,1.0,0.0
GroundOnly,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,REACHBACK_LOST,30,0,0.0,0.0,0.113517091390478,1.0,0.0
Progressive,MT4_PERSISTENT_MONITORING,DISMOUNTED_MANPACK,COMBINED_DEGRADED,30,0,0.0,0.0,0.113517091390478,0.0,0.021428571428571425
Progressive,MT4_PERSISTENT_MONITORING,DISMOUNTED_MANPACK,CONTACT_DENIAL,30,0,0.0,0.0,0.113517091390478,0.0,0.02738095238095238
Progressive,MT4_PERSISTENT_MONITORING,DISMOUNTED_MANPACK,INTERFERENCE,30,0,0.0,0.0,0.113517091390478,0.0,0.03571428571428571
Progressive,MT4_PERSISTENT_MONITORING,DISMOUNTED_MANPACK,NOMINAL,30,0,0.0,0.0,0.113517091390478,0.0,0.03571428571428571
Progressive,MT4_PERSISTENT_MONITORING,DISMOUNTED_MANPACK,REACHBACK_LOST,30,0,0.0,0.0,0.113517091390478,0.0,0.03571428571428571
Progressive,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,COMBINED_DEGRADED,30,0,0.0,0.0,0.113517091390478,0.0,0.02976190476190476
Progressive,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,CONTACT_DENIAL,30,0,0.0,0.0,0.113517091390478,0.0,0.02738095238095238
Progressive,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,INTERFERENCE,30,0,0.0,0.0,0.113517091390478,0.0,0.03571428571428571
Progressive,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,30,0,0.0,0.0,0.113517091390478,0.0,0.03571428571428571
Progressive,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,REACHBACK_LOST,30,0,0.0,0.0,0.113517091390478,0.0,0.03571428571428571
QuicklookFirst,MT4_PERSISTENT_MONITORING,DISMOUNTED_MANPACK,COMBINED_DEGRADED,30,0,0.0,0.0,0.113517091390478,1.0,0.0
QuicklookFirst,MT4_PERSISTENT_MONITORING,DISMOUNTED_MANPACK,CONTACT_DENIAL,30,0,0.0,0.0,0.113517091390478,1.0,0.0
QuicklookFirst,MT4_PERSISTENT_MONITORING,DISMOUNTED_MANPACK,INTERFERENCE,30,0,0.0,0.0,0.113517091390478,1.0,0.0
QuicklookFirst,MT4_PERSISTENT_MONITORING,DISMOUNTED_MANPACK,NOMINAL,30,0,0.0,0.0,0.113517091390478,1.0,0.0
QuicklookFirst,MT4_PERSISTENT_MONITORING,DISMOUNTED_MANPACK,REACHBACK_LOST,30,0,0.0,0.0,0.113517091390478,1.0,0.0
QuicklookFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,COMBINED_DEGRADED,30,0,0.0,0.0,0.113517091390478,1.0,0.0
QuicklookFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,CONTACT_DENIAL,30,0,0.0,0.0,0.113517091390478,1.0,0.0
QuicklookFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,INTERFERENCE,30,0,0.0,0.0,0.113517091390478,1.0,0.0
QuicklookFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,30,0,0.0,0.0,0.113517091390478,1.0,0.0
QuicklookFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,REACHBACK_LOST,30,0,0.0,0.0,0.113517091390478,1.0,0.0
RoiFirst,MT4_PERSISTENT_MONITORING,DISMOUNTED_MANPACK,COMBINED_DEGRADED,30,0,0.0,0.0,0.113517091390478,1.0,0.0
RoiFirst,MT4_PERSISTENT_MONITORING,DISMOUNTED_MANPACK,CONTACT_DENIAL,30,0,0.0,0.0,0.113517091390478,1.0,0.0
RoiFirst,MT4_PERSISTENT_MONITORING,DISMOUNTED_MANPACK,INTERFERENCE,30,0,0.0,0.0,0.113517091390478,1.0,0.0
RoiFirst,MT4_PERSISTENT_MONITORING,DISMOUNTED_MANPACK,NOMINAL,30,0,0.0,0.0,0.113517091390478,1.0,0.0
RoiFirst,MT4_PERSISTENT_MONITORING,DISMOUNTED_MANPACK,REACHBACK_LOST,30,0,0.0,0.0,0.113517091390478,1.0,0.0
RoiFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,COMBINED_DEGRADED,30,0,0.0,0.0,0.113517091390478,1.0,0.0
