satellites,terminals,architecture,thread,n_trials,successes,success_rate,success_rate_ci_lower,success_rate_ci_upper
1,1,CompressedFull,MT1_TIME_SENSITIVE_CUEING,320,0,0.0,0.0,0.011862589611711404
1,1,CompressedFull,MT2_ROUTE_RECON_FIRST,320,0,0.0,0.0,0.011862589611711404
1,1,CompressedFull,MT3_BATTLE_DAMAGE_ASSESSMENT,320,0,0.0,0.0,0.011862589611711404
1,1,CompressedFull,MT4_PERSISTENT_MONITORING,40,0,0.0,0.0,0.08762453925039232
1,1,ContactAware,MT1_TIME_SENSITIVE_CUEING,320,0,0.0,0.0,0.011862589611711404
1,1,ContactAware,MT2_ROUTE_RECON_FIRST,320,0,0.0,0.0,0.011862589611711404
1,1,ContactAware,MT3_BATTLE_DAMAGE_ASSESSMENT,320,0,0.0,0.0,0.011862589611711404
1,1,ContactAware,MT4_PERSISTENT_MONITORING,40,0,0.0,0.0,0.08762453925039232
1,1,GroundOnly,MT1_TIME_SENSITIVE_CUEING,320,0,0.0,0.0,0.011862589611711404
1,1,GroundOnly,MT2_ROUTE_RECON_FIRST,320,0,0.0,0.0,0.011862589611711404
1,1,GroundOnly,MT3_BATTLE_DAMAGE_ASSESSMENT,320,0,0.0,0.0,0.011862589611711404
1,1,GroundOnly,MT4_PERSISTENT_MONITORING,40,0,0.0,0.0,0.08762453925039232
1,1,Progressive,MT1_TIME_SENSITIVE_CUEING,320,0,0.0,0.0,0.011862589611711404
1,1,Progressive,MT2_ROUTE_RECON_FIRST,320,2,0.00625,0.0017156161405087415,0.02249869110105627
1,1,Progressive,MT3_BATTLE_DAMAGE_ASSESSMENT,320,0,0.0,0.0,0.011862589611711404
1,1,Progressive,MT4_PERSISTENT_MONITORING,40,0,0.0,0.0,0.08762453925039232
1,1,QuicklookFirst,MT1_TIME_SENSITIVE_CUEING,320,0,0.0,0.0,0.011862589611711404
1,1,QuicklookFirst,MT2_ROUTE_RECON_FIRST,320,0,0.0,0.0,0.011862589611711404
1,1,QuicklookFirst,MT3_BATTLE_DAMAGE_ASSESSMENT,320,0,0.0,0.0,0.011862589611711404
1,1,QuicklookFirst,MT4_PERSISTENT_MONITORING,40,0,0.0,0.0,0.08762453925039232
1,1,RoiFirst,MT1_TIME_SENSITIVE_CUEING,320,0,0.0,0.0,0.011862589611711404
1,1,RoiFirst,MT2_ROUTE_RECON_FIRST,320,1,0.003125,0.0005518381933127849,0.017486610233325425
1,1,RoiFirst,MT3_BATTLE_DAMAGE_ASSESSMENT,320,0,0.0,0.0,0.011862589611711404
1,1,RoiFirst,MT4_PERSISTENT_MONITORING,40,0,0.0,0.0,0.08762453925039232
1,1,ThreadAwarePriority,MT1_TIME_SENSITIVE_CUEING,320,0,0.0,0.0,0.011862589611711404
1,1,ThreadAwarePriority,MT2_ROUTE_RECON_FIRST,320,2,0.00625,0.0017156161405087415,0.02249869110105627
1,1,ThreadAwarePriority,MT3_BATTLE_DAMAGE_ASSESSMENT,320,0,0.0,0.0,0.011862589611711404
1,1,ThreadAwarePriority,MT4_PERSISTENT_MONITORING,40,0,0.0,0.0,0.08762453925039232
1,2,CompressedFull,MT1_TIME_SENSITIVE_CUEING,320,0,0.0,0.0,0.011862589611711404
1,2,CompressedFull,MT2_ROUTE_RECON_FIRST,320,0,0.0,0.0,0.011862589611711404
1,2,CompressedFull,MT3_BATTLE_DAMAGE_ASSESSMENT,320,0,0.0,0.0,0.011862589611711404
1,2,CompressedFull,MT4_PERSISTENT_MONITORING,40,0,0.0,0.0,0.08762453925039232
1,2,ContactAware,MT1_TIME_SENSITIVE_CUEING,320,0,0.0,0.0,0.011862589611711404
1,2,ContactAware,MT2_ROUTE_RECON_FIRST,320,0,0.0,0.0,0.011862589611711404
1,2,ContactAware,MT3_BATTLE_DAMAGE_ASSESSMENT,320,0,0.0,0.0,0.011862589611711404
1,2,ContactAware,MT4_PERSISTENT_MONITORING,40,0,0.0,0.0,0.08762453925039232
1,2,GroundOnly,MT1_TIME_SENSITIVE_CUEING,320,0,0.0,0.0,0.011862589611711404
1,2,GroundOnly,MT2_ROUTE_RECON_FIRST,320,0,0.0,0.0,0.011862589611711404
1,2,GroundOnly,MT3_BATTLE_DAMAGE_ASSESSMENT,320,0,0.0,0.0,0.011862589611711404
1,2,GroundOnly,MT4_PERSISTENT_MONITORING,40,0,0.0,0.0,0.08762453925039232
1,2,Progressive,MT1_TIME_SENSITIVE_CUEING,320,0,0.0,0.0,0.011862589611711404
1,2,Progressive,MT2_ROUTE_RECON_FIRST,320,0,0.0,0.0,0.011862589611711404
1,2,Progressive,MT3_BATTLE_DAMAGE_ASSESSMENT,320,1,0.003125,0.0005518381933127849,0.017486610233325425
1,2,Progressive,MT4_PERSISTENT_MONITORING,40,0,0.0,0.0,0.08762453925039232
1,2,QuicklookFirst,MT1_TIME_SENSITIVE_CUEING,320,0,0.0,0.0,0.011862589611711404
1,2,QuicklookFirst,MT2_ROUTE_RECON_FIRST,320,0,0.0,0.0,0.011862589611711404
1,2,QuicklookFirst,MT3_BATTLE_DAMAGE_ASSESSMENT,320,0,0.0,0.0,0.011862589611711404
1,2,QuicklookFirst,MT4_PERSISTENT_MONITORING,40,0,0.0,0.0,0.08762453925039232
1,2,RoiFirst,MT1_TIME_SENSITIVE_CUEING,320,0,0.0,0.0,0.011862589611711404
1,2,RoiFirst,MT2_ROUTE_RECON_FIRST,320,0,0.0,0.0,0.011862589611711404
1,2,RoiFirst,MT3_BATTLE_DAMAGE_ASSESSMENT,320,1,0.003125,0.0005518381933127849,0.017486610233325425
1,2,RoiFirst,MT4_PERSISTENT_MONITORING,40,0,0.0,0.0,0.08762453925039232
1,2,ThreadAwarePriority,MT1_TIME_SENSITIVE_CUEING,320,0,0.0,0.0,0.011862589611711404
1,2,ThreadAwarePriority,MT2_ROUTE_RECON_FIRST,320,0,0.0,0.0,0.011862589611711404
1,2,ThreadAwarePriority,MT3_BATTLE_DAMAGE_ASSESSMENT,320,1,0.003125,0.0005518381933127849,0.017486610233325425
1,2,ThreadAwarePriority,MT4_PERSISTENT_MONITORING,40,0,0.0,0.0,0.08762453925039232
1,4,CompressedFull,MT1_TIME_SENSITIVE_CUEING,320,0,0.0,0.0,0.011862589611711404
1,4,CompressedFull,MT2_ROUTE_RECON_FIRST,320,0,0.0,0.0,0.011862589611711404
1,4,CompressedFull,MT3_BATTLE_DAMAGE_ASSESSMENT,320,0,0.0,0.0,0.011862589611711404
1,4,CompressedFull,MT4_PERSISTENT_MONITORING,40,0,0.0,0.0,0.08762453925039232
1,4,ContactAware,MT1_TIME_SENSITIVE_CUEING,320,0,0.0,0.0,0.011862589611711404
1,4,ContactAware,MT2_ROUTE_RECON_FIRST,320,0,0.0,0.0,0.011862589611711404
1,4,ContactAware,MT3_BATTLE_DAMAGE_ASSESSMENT,320,0,0.0,0.0,0.011862589611711404
1,4,ContactAware,MT4_PERSISTENT_MONITORING,40,0,0.0,0.0,0.08762453925039232
1,4,GroundOnly,MT1_TIME_SENSITIVE_CUEING,320,0,0.0,0.0,0.011862589611711404
1,4,GroundOnly,MT2_ROUTE_RECON_FIRST,320,0,0.0,0.0,0.011862589611711404
1,4,GroundOnly,MT3_BATTLE_DAMAGE_ASSESSMENT,320,0,0.0,0.0,0.011862589611711404
1,4,GroundOnly,MT4_PERSISTENT_MONITORING,40,0,0.0,0.0,0.08762453925039232
1,4,Progressive,MT1_TIME_SENSITIVE_CUEING,320,0,0.0,0.0,0.011862589611711404
1,4,Progressive,MT2_ROUTE_RECON_FIRST,320,0,0.0,0.0,0.011862589611711404
1,4,Progressive,MT3_BATTLE_DAMAGE_ASSESSMENT,320,0,0.0,0.0,0.011862589611711404
1,4,Progressive,MT4_PERSISTENT_MONITORING,40,0,0.0,0.0,0.08762453925039232
1,4,QuicklookFirst,MT1_TIME_SENSITIVE_CUEING,320,0,0.0,0.0,0.011862589611711404
1,4,QuicklookFirst,MT2_ROUTE_RECON_FIRST,320,0,0.0,0.0,0.011862589611711404
1,4,QuicklookFirst,MT3_BATTLE_DAMAGE_ASSESSMENT,320,0,0.0,0.0,0.011862589611711404
1,4,QuicklookFirst,MT4_PERSISTENT_MONITORING,40,0,0.0,0.0,0.08762453925039232
1,4,RoiFirst,MT1_TIME_SENSITIVE_CUEING,320,0,0.0,0.0,0.011862589611711404
1,4,RoiFirst,MT2_ROUTE_RECON_FIRST,320,0,0.0,0.0,0.011862589611711404
1,4,RoiFirst,MT3_BATTLE_DAMAGE_ASSESSMENT,320,0,0.0,0.0,0.011862589611711404
1,4,RoiFirst,MT4_PERSISTENT_MONITORING,40,0,0.0,0.0,0.08762453925039232
1,4,ThreadAwarePriority,MT1_TIME_SENSITIVE_CUEING,320,0,0.0,0.0,0.011862589611711404
1,4,ThreadAwarePriority,MT2_ROUTE_RECON_FIRST,320,0,0.0,0.0,0.011862589611711404
1,4,ThreadAwarePriority,MT3_BATTLE_DAMAGE_ASSESSMENT,320,0,0.0,0.0,0.011862589611711404
1,4,ThreadAwarePriority,MT4_PERSISTENT_MONITORING,40,0,0.0,0.0,0.08762453925039232
2,1,CompressedFull,MT1_TIME_SENSITIVE_CUEING,320,0,0.0,0.0,0.011862589611711404
2,1,CompressedFull,MT2_ROUTE_RECON_FIRST,320,0,0.0,0.0,0.011862589611711404
2,1,CompressedFull,MT3_BATTLE_DAMAGE_ASSESSMENT,320,0,0.0,0.0,0.011862589611711404
2,1,CompressedFull,MT4_PERSISTENT_MONITORING,40,0,0.0,0.0,0.08762453925039232
2,1,ContactAware,MT1_TIME_SENSITIVE_CUEING,320,0,0.0,0.0,0.011862589611711404
2,1,ContactAware,MT2_ROUTE_RECON_FIRST,320,0,0.0,0.0,0.011862589611711404
2,1,ContactAware,MT3_BATTLE_DAMAGE_ASSESSMENT,320,0,0.0,0.0,0.011862589611711404
2,1,ContactAware,MT4_PERSISTENT_MONITORING,40,0,0.0,0.0,0.08762453925039232
2,1,GroundOnly,MT1_TIME_SENSITIVE_CUEING,320,0,0.0,0.0,0.011862589611711404
2,1,GroundOnly,MT2_ROUTE_RECON_FIRST,320,0,0.0,0.0,0.011862589611711404
2,1,GroundOnly,MT3_BATTLE_DAMAGE_ASSESSMENT,320,0,0.0,0.0,0.011862589611711404
2,1,GroundOnly,MT4_PERSISTENT_MONITORING,40,0,0.0,0.0,0.08762453925039232
2,1,Progressive,MT1_TIME_SENSITIVE_CUEING,320,0,0.0,0.0,0.011862589611711404
2,1,Progressive,MT2_ROUTE_RECON_FIRST,320,1,0.003125,0.0005518381933127849,0.017486610233325425
2,1,Progressive,MT3_BATTLE_DAMAGE_ASSESSMENT,320,1,0.003125,0.0005518381933127849,0.017486610233325425
2,1,Progressive,MT4_PERSISTENT_MONITORING,40,0,0.0,0.0,0.08762453925039232
2,1,QuicklookFirst,MT1_TIME_SENSITIVE_CUEING,320,0,0.0,0.0,0.011862589611711404
2,1,QuicklookFirst,MT2_ROUTE_RECON_FIRST,320,0,0.0,0.0,0.011862589611711404
2,1,QuicklookFirst,MT3_BATTLE_DAMAGE_ASSESSMENT,320,0,0.0,0.0,0.011862589611711404
2,1,QuicklookFirst,MT4_PERSISTENT_MONITORING,40,0,0.0,0.0,0.08762453925039232
2,1,RoiFirst,MT1_TIME_SENSITIVE_CUEING,320,0,0.0,0.0,0.011862589611711404
2,1,RoiFirst,MT2_ROUTE_RECON_FIRST,320,0,0.0,0.0,0.011862589611711404
2,1,RoiFirst,MT3_BATTLE_DAMAGE_ASSESSMENT,320,1,0.003125,0.0005518381933127849,0.017486610233325425
2,1,RoiFirst,MT4_PERSISTENT_MONITORING,40,0,0.0,0.0,0.08762453925039232
2,1,ThreadAwarePriority,MT1_TIME_SENSITIVE_CUEING,320,0,0.0,0.0,0.011862589611711404
2,1,ThreadAwarePriority,MT2_ROUTE_RECON_FIRST,320,1,0.003125,0.0005518381933127849,0.017486610233325425
2,1,ThreadAwarePriority,MT3_BATTLE_DAMAGE_ASSESSMENT,320,1,0.003125,0.0005518381933127849,0.017486610233325425
2,1,ThreadAwarePriority,MT4_PERSISTENT_MONITORING,40,0,0.0,0.0,0.08762453925039232
2,2,CompressedFull,MT1_TIME_SENSITIVE_CUEING,320,0,0.0,0.0,0.011862589611711404
2,2,CompressedFull,MT2_ROUTE_RECON_FIRST,320,0,0.0,0.0,0.011862589611711404
2,2,CompressedFull,MT3_BATTLE_DAMAGE_ASSESSMENT,320,0,0.0,0.0,0.011862589611711404
2,2,CompressedFull,MT4_PERSISTENT_MONITORING,40,0,0.0,0.0,0.08762453925039232
2,2,ContactAware,MT1_TIME_SENSITIVE_CUEING,320,0,0.0,0.0,0.011862589611711404
2,2,ContactAware,MT2_ROUTE_RECON_FIRST,320,0,0.0,0.0,0.011862589611711404
2,2,ContactAware,MT3_BATTLE_DAMAGE_ASSESSMENT,320,0,0.0,0.0,0.011862589611711404
2,2,ContactAware,MT4_PERSISTENT_MONITORING,40,0,0.0,0.0,0.08762453925039232
2,2,GroundOnly,MT1_TIME_SENSITIVE_CUEING,320,0,0.0,0.0,0.011862589611711404
2,2,GroundOnly,MT2_ROUTE_RECON_FIRST,320,0,0.0,0.0,0.011862589611711404
2,2,GroundOnly,MT3_BATTLE_DAMAGE_ASSESSMENT,320,0,0.0,0.0,0.011862589611711404
2,2,GroundOnly,MT4_PERSISTENT_MONITORING,40,0,0.0,0.0,0.08762453925039232
2,2,Progressive,MT1_TIME_SENSITIVE_CUEING,320,0,0.0,0.0,0.011862589611711404
2,2,Progressive,MT2_ROUTE_RECON_FIRST,320,0,0.0,0.0,0.011862589611711404
2,2,Progressive,MT3_BATTLE_DAMAGE_ASSESSMENT,320,0,0.0,0.0,0.011862589611711404
2,2,Progressive,MT4_PERSISTENT_MONITORING,40,0,0.0,0.0,0.08762453925039232
2,2,QuicklookFirst,MT1_TIME_SENSITIVE_CUEING,320,0,0.0,0.0,0.011862589611711404
2,2,QuicklookFirst,MT2_ROUTE_RECON_FIRST,320,0,0.0,0.0,0.011862589611711404
2,2,QuicklookFirst,MT3_BATTLE_DAMAGE_ASSESSMENT,320,0,0.0,0.0,0.011862589611711404
2,2,QuicklookFirst,MT4_PERSISTENT_MONITORING,40,0,0.0,0.0,0.08762453925039232
2,2,RoiFirst,MT1_TIME_SENSITIVE_CUEING,320,0,0.0,0.0,0.011862589611711404
2,2,RoiFirst,MT2_ROUTE_RECON_FIRST,320,0,0.0,0.0,0.011862589611711404
2,2,RoiFirst,MT3_BATTLE_DAMAGE_ASSESSMENT,320,0,0.0,0.0,0.011862589611711404
2,2,RoiFirst,MT4_PERSISTENT_MONITORING,40,0,0.0,0.0,0.08762453925039232
2,2,ThreadAwarePriority,MT1_TIME_SENSITIVE_CUEING,320,0,0.0,0.0,0.011862589611711404
2,2,ThreadAwarePriority,MT2_ROUTE_RECON_FIRST,320,0,0.0,0.0,0.011862589611711404
2,2,ThreadAwarePriority,MT3_BATTLE_DAMAGE_ASSESSMENT,320,0,0.0,0.0,0.011862589611711404
2,2,ThreadAwarePriority,MT4_PERSISTENT_MONITORING,40,0,0.0,0.0,0.08762453925039232
2,4,CompressedFull,MT1_TIME_SENSITIVE_CUEING,320,0,0.0,0.0,0.011862589611711404
2,4,CompressedFull,MT2_ROUTE_RECON_FIRST,320,0,0.0,0.0,0.011862589611711404
2,4,CompressedFull,MT3_BATTLE_DAMAGE_ASSESSMENT,320,0,0.0,0.0,0.011862589611711404
2,4,CompressedFull,MT4_PERSISTENT_MONITORING,40,0,0.0,0.0,0.08762453925039232
2,4,ContactAware,MT1_TIME_SENSITIVE_CUEING,320,0,0.0,0.0,0.011862589611711404
2,4,ContactAware,MT2_ROUTE_RECON_FIRST,320,0,0.0,0.0,0.011862589611711404
2,4,ContactAware,MT3_BATTLE_DAMAGE_ASSESSMENT,320,0,0.0,0.0,0.011862589611711404
2,4,ContactAware,MT4_PERSISTENT_MONITORING,40,0,0.0,0.0,0.08762453925039232
2,4,GroundOnly,MT1_TIME_SENSITIVE_CUEING,320,0,0.0,0.0,0.011862589611711404
2,4,GroundOnly,MT2_ROUTE_RECON_FIRST,320,0,0.0,0.0,0.011862589611711404
2,4,GroundOnly,MT3_BATTLE_DAMAGE_ASSESSMENT,320,0,0.0,0.0,0.011862589611711404
2,4,GroundOnly,MT4_PERSISTENT_MONITORING,40,0,0.0,0.0,0.08762453925039232
2,4,Progressive,MT1_TIME_SENSITIVE_CUEING,320,0,0.0,0.0,0.011862589611711404
2,4,Progressive,MT2_ROUTE_RECON_FIRST,320,0,0.0,0.0,0.011862589611711404
2,4,Progressive,MT3_BATTLE_DAMAGE_ASSESSMENT,320,0,0.0,0.0,0.011862589611711404
2,4,Progressive,MT4_PERSISTENT_MONITORING,40,0,0.0,0.0,0.08762453925039232
2,4,QuicklookFirst,MT1_TIME_SENSITIVE_CUEING,320,0,0.0,0.0,0.011862589611711404
2,4,QuicklookFirst,MT2_ROUTE_RECON_FIRST,320,0,0.0,0.0,0.011862589611711404
2,4,QuicklookFirst,MT3_BATTLE_DAMAGE_ASSESSMENT,320,0,0.0,0.0,0.011862589611711404
2,4,QuicklookFirst,MT4_PERSISTENT_MONITORING,40,0,0.0,0.0,0.08762453925039232
2,4,RoiFirst,MT1_TIME_SENSITIVE_CUEING,320,0,0.0,0.0,0.011862589611711404
2,4,RoiFirst,MT2_ROUTE_RECON_FIRST,320,0,0.0,0.0,0.011862589611711404
2,4,RoiFirst,MT3_BATTLE_DAMAGE_ASSESSMENT,320,0,0.0,0.0,0.011862589611711404
2,4,RoiFirst,MT4_PERSISTENT_MONITORING,40,0,0.0,0.0,0.08762453925039232
2,4,ThreadAwarePriority,MT1_TIME_SENSITIVE_CUEING,320,0,0.0,0.0,0.011862589611711404
2,4,ThreadAwarePriority,MT2_ROUTE_RECON_FIRST,320,0,0.0,0.0,0.011862589611711404
2,4,ThreadAwarePriority,MT3_BATTLE_DAMAGE_ASSESSMENT,320,0,0.0,0.0,0.011862589611711404
2,4,ThreadAwarePriority,MT4_PERSISTENT_MONITORING,40,0,0.0,0.0,0.08762453925039232
4,1,CompressedFull,MT1_TIME_SENSITIVE_CUEING,320,0,0.0,0.0,0.011862589611711404
4,1,CompressedFull,MT2_ROUTE_RECON_FIRST,320,0,0.0,0.0,0.011862589611711404
4,1,CompressedFull,MT3_BATTLE_DAMAGE_ASSESSMENT,320,0,0.0,0.0,0.011862589611711404
4,1,CompressedFull,MT4_PERSISTENT_MONITORING,40,0,0.0,0.0,0.08762453925039232
4,1,ContactAware,MT1_TIME_SENSITIVE_CUEING,320,0,0.0,0.0,0.011862589611711404
4,1,ContactAware,MT2_ROUTE_RECON_FIRST,320,0,0.0,0.0,0.011862589611711404
4,1,ContactAware,MT3_BATTLE_DAMAGE_ASSESSMENT,320,0,0.0,0.0,0.011862589611711404
4,1,ContactAware,MT4_PERSISTENT_MONITORING,40,0,0.0,0.0,0.08762453925039232
4,1,GroundOnly,MT1_TIME_SENSITIVE_CUEING,320,0,0.0,0.0,0.011862589611711404
4,1,GroundOnly,MT2_ROUTE_RECON_FIRST,320,0,0.0,0.0,0.011862589611711404
4,1,GroundOnly,MT3_BATTLE_DAMAGE_ASSESSMENT,320,0,0.0,0.0,0.011862589611711404
4,1,GroundOnly,MT4_PERSISTENT_MONITORING,40,0,0.0,0.0,0.08762453925039232
4,1,Progressive,MT1_TIME_SENSITIVE_CUEING,320,0,0.0,0.0,0.011862589611711404
4,1,Progressive,MT2_ROUTE_RECON_FIRST,320,1,0.003125,0.0005518381933127849,0.017486610233325425
4,1,Progressive,MT3_BATTLE_DAMAGE_ASSESSMENT,320,0,0.0,0.0,0.011862589611711404
4,1,Progressive,MT4_PERSISTENT_MONITORING,40,0,0.0,0.0,0.08762453925039232
4,1,QuicklookFirst,MT1_TIME_SENSITIVE_CUEING,320,0,0.0,0.0,0.011862589611711404
4,1,QuicklookFirst,MT2_ROUTE_RECON_FIRST,320,0,0.0,0.0,0.011862589611711404
4,1,QuicklookFirst,MT3_BATTLE_DAMAGE_ASSESSMENT,320,0,0.0,0.0,0.011862589611711404
4,1,QuicklookFirst,MT4_PERSISTENT_MONITORING,40,0,0.0,0.0,0.08762453925039232
4,1,RoiFirst,MT1_TIME_SENSITIVE_CUEING,320,0,0.0,0.0,0.011862589611711404
4,1,RoiFirst,MT2_ROUTE_RECON_FIRST,320,1,0.003125,0.0005518381933127849,0.017486610233325425
4,1,RoiFirst,MT3_BATTLE_DAMAGE_ASSESSMENT,320,0,0.0,0.0,0.011862589611711404
4,1,RoiFirst,MT4_PERSISTENT_MONITORING,40,0,0.0,0.0,0.08762453925039232
4,1,ThreadAwarePriority,MT1_TIME_SENSITIVE_CUEING,320,0,0.0,0.0,0.011862589611711404
4,1,ThreadAwarePriority,MT2_ROUTE_RECON_FIRST,320,1,0.003125,0.0005518381933127849,0.017486610233325425
4,1,ThreadAwarePriority,MT3_BATTLE_DAMAGE_ASSESSMENT,320,0,0.0,0.0,0.011862589611711404
4,1,ThreadAwarePriority,MT4_PERSISTENT_MONITORING,40,0,0.0,0.0,0.08762453925039232
4,2,CompressedFull,MT1_TIME_SENSITIVE_CUEING,320,0,0.0,0.0,0.011862589611711404
4,2,CompressedFull,MT2_ROUTE_RECON_FIRST,320,0,0.0,0.0,0.011862589611711404
4,2,CompressedFull,MT3_BATTLE_DAMAGE_ASSESSMENT,320,0,0.0,0.0,0.011862589611711404
4,2,CompressedFull,MT4_PERSISTENT_MONITORING,40,0,0.0,0.0,0.08762453925039232
4,2,ContactAware,MT1_TIME_SENSITIVE_CUEING,320,0,0.0,0.0,0.011862589611711404
4,2,ContactAware,MT2_ROUTE_RECON_FIRST,320,0,0.0,0.0,0.011862589611711404
4,2,ContactAware,MT3_BATTLE_DAMAGE_ASSESSMENT,320,0,0.0,0.0,0.011862589611711404
4,2,ContactAware,MT4_PERSISTENT_MONITORING,40,0,0.0,0.0,0.08762453925039232
4,2,GroundOnly,MT1_TIME_SENSITIVE_CUEING,320,0,0.0,0.0,0.011862589611711404
4,2,GroundOnly,MT2_ROUTE_RECON_FIRST,320,0,0.0,0.0,0.011862589611711404
4,2,GroundOnly,MT3_BATTLE_DAMAGE_ASSESSMENT,320,0,0.0,0.0,0.011862589611711404
4,2,GroundOnly,MT4_PERSISTENT_MONITORING,40,0,0.0,0.0,0.08762453925039232
4,2,Progressive,MT1_TIME_SENSITIVE_CUEING,320,0,0.0,0.0,0.011862589611711404
4,2,Progressive,MT2_ROUTE_RECON_FIRST,320,0,0.0,0.0,0.011862589611711404
4,2,Progressive,MT3_BATTLE_DAMAGE_ASSESSMENT,320,3,0.009375,0.003193310923661572,0.02719685513283024
4,2,Progressive,MT4_PERSISTENT_MONITORING,40,0,0.0,0.0,0.08762453925039232
4,2,QuicklookFirst,MT1_TIME_SENSITIVE_CUEING,320,0,0.0,0.0,0.011862589611711404
4,2,QuicklookFirst,MT2_ROUTE_RECON_FIRST,320,0,0.0,0.0,0.011862589611711404
4,2,QuicklookFirst,MT3_BATTLE_DAMAGE_ASSESSMENT,320,0,0.0,0.0,0.011862589611711404
4,2,QuicklookFirst,MT4_PERSISTENT_MONITORING,40,0,0.0,0.0,0.08762453925039232
4,2,RoiFirst,MT1_TIME_SENSITIVE_CUEING,320,0,0.0,0.0,0.011862589611711404
4,2,RoiFirst,MT2_ROUTE_RECON_FIRST,320,0,0.0,0.0,0.011862589611711404
4,2,RoiFirst,MT3_BATTLE_DAMAGE_ASSESSMENT,320,3,0.009375,0.003193310923661572,0.02719685513283024
4,2,RoiFirst,MT4_PERSISTENT_MONITORING,40,0,0.0,0.0,0.08762453925039232
4,2,ThreadAwarePriority,MT1_TIME_SENSITIVE_CUEING,320,0,0.0,0.0,0.011862589611711404
4,2,ThreadAwarePriority,MT2_ROUTE_RECON_FIRST,320,0,0.0,0.0,0.011862589611711404
4,2,ThreadAwarePriority,MT3_BATTLE_DAMAGE_ASSESSMENT,320,3,0.009375,0.003193310923661572,0.02719685513283024
4,2,ThreadAwarePriority,MT4_PERSISTENT_MONITORING,40,0,0.0,0.0,0.08762453925039232
4,4,CompressedFull,MT1_TIME_SENSITIVE_CUEING,320,0,0.0,0.0,0.011862589611711404
4,4,CompressedFull,MT2_ROUTE_RECON_FIRST,320,0,0.0,0.0,0.011862589611711404
4,4,CompressedFull,MT3_BATTLE_DAMAGE_ASSESSMENT,320,0,0.0,0.0,0.011862589611711404
4,4,CompressedFull,MT4_PERSISTENT_MONITORING,40,0,0.0,0.0,0.08762453925039232
4,4,ContactAware,MT1_TIME_SENSITIVE_CUEING,320,0,0.0,0.0,0.011862589611711404
4,4,ContactAware,MT2_ROUTE_RECON_FIRST,320,0,0.0,0.0,0.011862589611711404
4,4,ContactAware,MT3_BATTLE_DAMAGE_ASSESSMENT,320,0,0.0,0.0,0.011862589611711404
4,4,ContactAware,MT4_PERSISTENT_MONITORING,40,0,0.0,0.0,0.08762453925039232
4,4,GroundOnly,MT1_TIME_SENSITIVE_CUEING,320,0,0.0,0.0,0.011862589611711404
4,4,GroundOnly,MT2_ROUTE_RECON_FIRST,320,0,0.0,0.0,0.011862589611711404
4,4,GroundOnly,MT3_BATTLE_DAMAGE_ASSESSMENT,320,0,0.0,0.0,0.011862589611711404
4,4,GroundOnly,MT4_PERSISTENT_MONITORING,40,0,0.0,0.0,0.08762453925039232
4,4,Progressive,MT1_TIME_SENSITIVE_CUEING,320,0,0.0,0.0,0.011862589611711404
4,4,Progressive,MT2_ROUTE_RECON_FIRST,320,0,0.0,0.0,0.011862589611711404
4,4,Progressive,MT3_BATTLE_DAMAGE_ASSESSMENT,320,0,0.0,0.0,0.011862589611711404
4,4,Progressive,MT4_PERSISTENT_MONITORING,40,0,0.0,0.0,0.08762453925039232
4,4,QuicklookFirst,MT1_TIME_SENSITIVE_CUEING,320,0,0.0,0.0,0.011862589611711404
4,4,QuicklookFirst,MT2_ROUTE_RECON_FIRST,320,0,0.0,0.0,0.011862589611711404
4,4,QuicklookFirst,MT3_BATTLE_DAMAGE_ASSESSMENT,320,0,0.0,0.0,0.011862589611711404
4,4,QuicklookFirst,MT4_PERSISTENT_MONITORING,40,0,0.0,0.0,0.08762453925039232
4,4,RoiFirst,MT1_TIME_SENSITIVE_CUEING,320,0,0.0,0.0,0.011862589611711404
