satellites,terminals,best_architecture
1,1,NO_SIGNIFICANT_DIFFERENCE
1,2,NO_SIGNIFICANT_DIFFERENCE
1,4,NO_SIGNIFICANT_DIFFERENCE
2,1,NO_SIGNIFICANT_DIFFERENCE
2,2,NO_SIGNIFICANT_DIFFERENCE
2,4,NO_SIGNIFICANT_DIFFERENCE
4,1,NO_SIGNIFICANT_DIFFERENCE
4,2,NO_SIGNIFICANT_DIFFERENCE
4,4,NO_SIGNIFICANT_DIFFERENCE
8,1,NO_SIGNIFICANT_DIFFERENCE
8,2,NO_SIGNIFICANT_DIFFERENCE
8,4,NO_SIGNIFICANT_DIFFERENCE
16,1,ThreadAwarePriority
16,2,NO_SIGNIFICANT_DIFFERENCE
16,4,NO_SIGNIFICANT_DIFFERENCE
32,1,NO_SIGNIFICANT_DIFFERENCE
32,2,NO_SIGNIFICANT_DIFFERENCE
32,4,NO_SIGNIFICANT_DIFFERENCE
