satellites,terminals,processing_tiers,relative_cost,success_rate
1,1,4,17.0,0.0007142857142857143
1,2,4,20.0,0.00042857142857142855
1,4,4,26.0,0.0
2,1,4,27.0,0.0007142857142857143
2,2,4,30.0,0.0
2,4,4,36.0,0.0
4,1,4,47.0,0.00042857142857142855
4,2,4,50.0,0.0012857142857142856
4,4,4,56.0,0.0
8,1,4,87.0,0.004142857142857143
8,2,4,90.0,0.004714285714285714
8,4,4,96.0,0.006714285714285714
16,1,4,167.0,0.010285714285714285
16,2,4,170.0,0.007571428571428572
16,4,4,176.0,0.0
32,1,4,327.0,0.005571428571428572
32,2,4,330.0,0.0025714285714285713
32,4,4,336.0,0.0
