satellites,terminals,architecture_a,architecture_b,n_paired_trials,diff_a_minus_b,significant
1,1,CompressedFull,ContactAware,1000,0.0,False
1,1,CompressedFull,GroundOnly,1000,0.0,False
1,1,CompressedFull,Progressive,1000,-0.002,False
1,1,CompressedFull,QuicklookFirst,1000,0.0,False
1,1,CompressedFull,RoiFirst,1000,-0.001,False
1,1,CompressedFull,ThreadAwarePriority,1000,-0.002,False
1,1,ContactAware,GroundOnly,1000,0.0,False
1,1,ContactAware,Progressive,1000,-0.002,False
1,1,ContactAware,QuicklookFirst,1000,0.0,False
1,1,ContactAware,RoiFirst,1000,-0.001,False
1,1,ContactAware,ThreadAwarePriority,1000,-0.002,False
1,1,GroundOnly,Progressive,1000,-0.002,False
1,1,GroundOnly,QuicklookFirst,1000,0.0,False
1,1,GroundOnly,RoiFirst,1000,-0.001,False
1,1,GroundOnly,ThreadAwarePriority,1000,-0.002,False
1,1,Progressive,QuicklookFirst,1000,0.002,False
1,1,Progressive,RoiFirst,1000,0.001,False
1,1,Progressive,ThreadAwarePriority,1000,0.0,False
1,1,QuicklookFirst,RoiFirst,1000,-0.001,False
1,1,QuicklookFirst,ThreadAwarePriority,1000,-0.002,False
1,1,RoiFirst,ThreadAwarePriority,1000,-0.001,False
1,2,CompressedFull,ContactAware,1000,0.0,False
1,2,CompressedFull,GroundOnly,1000,0.0,False
1,2,CompressedFull,Progressive,1000,-0.001,False
1,2,CompressedFull,QuicklookFirst,1000,0.0,False
1,2,CompressedFull,RoiFirst,1000,-0.001,False
1,2,CompressedFull,ThreadAwarePriority,1000,-0.001,False
1,2,ContactAware,GroundOnly,1000,0.0,False
1,2,ContactAware,Progressive,1000,-0.001,False
1,2,ContactAware,QuicklookFirst,1000,0.0,False
1,2,ContactAware,RoiFirst,1000,-0.001,False
1,2,ContactAware,ThreadAwarePriority,1000,-0.001,False
1,2,GroundOnly,Progressive,1000,-0.001,False
1,2,GroundOnly,QuicklookFirst,1000,0.0,False
1,2,GroundOnly,RoiFirst,1000,-0.001,False
1,2,GroundOnly,ThreadAwarePriority,1000,-0.001,False
1,2,Progressive,QuicklookFirst,1000,0.001,False
1,2,Progressive,RoiFirst,1000,0.0,False
1,2,Progressive,ThreadAwarePriority,1000,0.0,False
1,2,QuicklookFirst,RoiFirst,1000,-0.001,False
1,2,QuicklookFirst,ThreadAwarePriority,1000,-0.001,False
1,2,RoiFirst,ThreadAwarePriority,1000,0.0,False
1,4,CompressedFull,ContactAware,1000,0.0,False
1,4,CompressedFull,GroundOnly,1000,0.0,False
1,4,CompressedFull,Progressive,1000,0.0,False
1,4,CompressedFull,QuicklookFirst,1000,0.0,False
1,4,CompressedFull,RoiFirst,1000,0.0,False
1,4,CompressedFull,ThreadAwarePriority,1000,0.0,False
1,4,ContactAware,GroundOnly,1000,0.0,False
1,4,ContactAware,Progressive,1000,0.0,False
1,4,ContactAware,QuicklookFirst,1000,0.0,False
1,4,ContactAware,RoiFirst,1000,0.0,False
1,4,ContactAware,ThreadAwarePriority,1000,0.0,False
1,4,GroundOnly,Progressive,1000,0.0,False
1,4,GroundOnly,QuicklookFirst,1000,0.0,False
1,4,GroundOnly,RoiFirst,1000,0.0,False
1,4,GroundOnly,ThreadAwarePriority,1000,0.0,False
1,4,Progressive,QuicklookFirst,1000,0.0,False
1,4,Progressive,RoiFirst,1000,0.0,False
1,4,Progressive,ThreadAwarePriority,1000,0.0,False
1,4,QuicklookFirst,RoiFirst,1000,0.0,False
1,4,QuicklookFirst,ThreadAwarePriority,1000,0.0,False
1,4,RoiFirst,ThreadAwarePriority,1000,0.0,False
2,1,CompressedFull,ContactAware,1000,0.0,False
2,1,CompressedFull,GroundOnly,1000,0.0,False
2,1,CompressedFull,Progressive,1000,-0.002,False
2,1,CompressedFull,QuicklookFirst,1000,0.0,False
2,1,CompressedFull,RoiFirst,1000,-0.001,False
2,1,CompressedFull,ThreadAwarePriority,1000,-0.002,False
2,1,ContactAware,GroundOnly,1000,0.0,False
2,1,ContactAware,Progressive,1000,-0.002,False
2,1,ContactAware,QuicklookFirst,1000,0.0,False
2,1,ContactAware,RoiFirst,1000,-0.001,False
2,1,ContactAware,ThreadAwarePriority,1000,-0.002,False
2,1,GroundOnly,Progressive,1000,-0.002,False
2,1,GroundOnly,QuicklookFirst,1000,0.0,False
2,1,GroundOnly,RoiFirst,1000,-0.001,False
2,1,GroundOnly,ThreadAwarePriority,1000,-0.002,False
2,1,Progressive,QuicklookFirst,1000,0.002,False
2,1,Progressive,RoiFirst,1000,0.001,False
2,1,Progressive,ThreadAwarePriority,1000,0.0,False
2,1,QuicklookFirst,RoiFirst,1000,-0.001,False
2,1,QuicklookFirst,ThreadAwarePriority,1000,-0.002,False
2,1,RoiFirst,ThreadAwarePriority,1000,-0.001,False
2,2,CompressedFull,ContactAware,1000,0.0,False
2,2,CompressedFull,GroundOnly,1000,0.0,False
2,2,CompressedFull,Progressive,1000,0.0,False
2,2,CompressedFull,QuicklookFirst,1000,0.0,False
2,2,CompressedFull,RoiFirst,1000,0.0,False
2,2,CompressedFull,ThreadAwarePriority,1000,0.0,False
2,2,ContactAware,GroundOnly,1000,0.0,False
2,2,ContactAware,Progressive,1000,0.0,False
2,2,ContactAware,QuicklookFirst,1000,0.0,False
2,2,ContactAware,RoiFirst,1000,0.0,False
2,2,ContactAware,ThreadAwarePriority,1000,0.0,False
2,2,GroundOnly,Progressive,1000,0.0,False
2,2,GroundOnly,QuicklookFirst,1000,0.0,False
2,2,GroundOnly,RoiFirst,1000,0.0,False
2,2,GroundOnly,ThreadAwarePriority,1000,0.0,False
2,2,Progressive,QuicklookFirst,1000,0.0,False
2,2,Progressive,RoiFirst,1000,0.0,False
2,2,Progressive,ThreadAwarePriority,1000,0.0,False
2,2,QuicklookFirst,RoiFirst,1000,0.0,False
2,2,QuicklookFirst,ThreadAwarePriority,1000,0.0,False
2,2,RoiFirst,ThreadAwarePriority,1000,0.0,False
2,4,CompressedFull,ContactAware,1000,0.0,False
2,4,CompressedFull,GroundOnly,1000,0.0,False
2,4,CompressedFull,Progressive,1000,0.0,False
2,4,CompressedFull,QuicklookFirst,1000,0.0,False
2,4,CompressedFull,RoiFirst,1000,0.0,False
2,4,CompressedFull,ThreadAwarePriority,1000,0.0,False
2,4,ContactAware,GroundOnly,1000,0.0,False
2,4,ContactAware,Progressive,1000,0.0,False
2,4,ContactAware,QuicklookFirst,1000,0.0,False
2,4,ContactAware,RoiFirst,1000,0.0,False
2,4,ContactAware,ThreadAwarePriority,1000,0.0,False
2,4,GroundOnly,Progressive,1000,0.0,False
2,4,GroundOnly,QuicklookFirst,1000,0.0,False
2,4,GroundOnly,RoiFirst,1000,0.0,False
2,4,GroundOnly,ThreadAwarePriority,1000,0.0,False
2,4,Progressive,QuicklookFirst,1000,0.0,False
2,4,Progressive,RoiFirst,1000,0.0,False
2,4,Progressive,ThreadAwarePriority,1000,0.0,False
2,4,QuicklookFirst,RoiFirst,1000,0.0,False
2,4,QuicklookFirst,ThreadAwarePriority,1000,0.0,False
2,4,RoiFirst,ThreadAwarePriority,1000,0.0,False
4,1,CompressedFull,ContactAware,1000,0.0,False
4,1,CompressedFull,GroundOnly,1000,0.0,False
4,1,CompressedFull,Progressive,1000,-0.001,False
4,1,CompressedFull,QuicklookFirst,1000,0.0,False
4,1,CompressedFull,RoiFirst,1000,-0.001,False
4,1,CompressedFull,ThreadAwarePriority,1000,-0.001,False
4,1,ContactAware,GroundOnly,1000,0.0,False
4,1,ContactAware,Progressive,1000,-0.001,False
4,1,ContactAware,QuicklookFirst,1000,0.0,False
4,1,ContactAware,RoiFirst,1000,-0.001,False
4,1,ContactAware,ThreadAwarePriority,1000,-0.001,False
4,1,GroundOnly,Progressive,1000,-0.001,False
4,1,GroundOnly,QuicklookFirst,1000,0.0,False
4,1,GroundOnly,RoiFirst,1000,-0.001,False
4,1,GroundOnly,ThreadAwarePriority,1000,-0.001,False
4,1,Progressive,QuicklookFirst,1000,0.001,False
4,1,Progressive,RoiFirst,1000,0.0,False
4,1,Progressive,ThreadAwarePriority,1000,0.0,False
4,1,QuicklookFirst,RoiFirst,1000,-0.001,False
4,1,QuicklookFirst,ThreadAwarePriority,1000,-0.001,False
4,1,RoiFirst,ThreadAwarePriority,1000,0.0,False
4,2,CompressedFull,ContactAware,1000,0.0,False
