contact_duration_s,rate_bps,architecture_id,tcp_s,completed
120,1000000,A0_GROUND_ONLY,,False
120,1000000,A1_COMPRESSED_FULL,,False
120,1000000,A2_QUICKLOOK_FIRST,,False
120,1000000,A3_ROI_FIRST,,False
120,1000000,A4_PROGRESSIVE,,False
120,5000000,A0_GROUND_ONLY,,False
120,5000000,A1_COMPRESSED_FULL,,False
120,5000000,A2_QUICKLOOK_FIRST,,False
120,5000000,A3_ROI_FIRST,,False
120,5000000,A4_PROGRESSIVE,,False
120,10000000,A0_GROUND_ONLY,,False
120,10000000,A1_COMPRESSED_FULL,,False
120,10000000,A2_QUICKLOOK_FIRST,,False
120,10000000,A3_ROI_FIRST,,False
120,10000000,A4_PROGRESSIVE,,False
120,25000000,A0_GROUND_ONLY,,False
120,25000000,A1_COMPRESSED_FULL,116.0,True
120,25000000,A2_QUICKLOOK_FIRST,,False
120,25000000,A3_ROI_FIRST,,False
120,25000000,A4_PROGRESSIVE,,False
120,50000000,A0_GROUND_ONLY,,False
120,50000000,A1_COMPRESSED_FULL,68.0,True
120,50000000,A2_QUICKLOOK_FIRST,,False
120,50000000,A3_ROI_FIRST,,False
120,50000000,A4_PROGRESSIVE,,False
120,100000000,A0_GROUND_ONLY,80.0,True
120,100000000,A1_COMPRESSED_FULL,44.0,True
120,100000000,A2_QUICKLOOK_FIRST,83.6,True
120,100000000,A3_ROI_FIRST,108.0,True
120,100000000,A4_PROGRESSIVE,105.07674624,True
180,1000000,A0_GROUND_ONLY,,False
180,1000000,A1_COMPRESSED_FULL,,False
180,1000000,A2_QUICKLOOK_FIRST,,False
180,1000000,A3_ROI_FIRST,,False
180,1000000,A4_PROGRESSIVE,,False
180,5000000,A0_GROUND_ONLY,,False
180,5000000,A1_COMPRESSED_FULL,,False
180,5000000,A2_QUICKLOOK_FIRST,,False
180,5000000,A3_ROI_FIRST,,False
180,5000000,A4_PROGRESSIVE,,False
180,10000000,A0_GROUND_ONLY,,False
180,10000000,A1_COMPRESSED_FULL,,False
180,10000000,A2_QUICKLOOK_FIRST,,False
180,10000000,A3_ROI_FIRST,,False
180,10000000,A4_PROGRESSIVE,,False
180,25000000,A0_GROUND_ONLY,,False
180,25000000,A1_COMPRESSED_FULL,116.0,True
180,25000000,A2_QUICKLOOK_FIRST,,False
180,25000000,A3_ROI_FIRST,,False
180,25000000,A4_PROGRESSIVE,,False
180,50000000,A0_GROUND_ONLY,160.0,True
180,50000000,A1_COMPRESSED_FULL,68.0,True
180,50000000,A2_QUICKLOOK_FIRST,165.2,True
180,50000000,A3_ROI_FIRST,196.0,True
180,50000000,A4_PROGRESSIVE,190.15349248,True
180,100000000,A0_GROUND_ONLY,80.0,True
180,100000000,A1_COMPRESSED_FULL,44.0,True
180,100000000,A2_QUICKLOOK_FIRST,83.6,True
180,100000000,A3_ROI_FIRST,108.0,True
180,100000000,A4_PROGRESSIVE,105.07674624,True
240,1000000,A0_GROUND_ONLY,,False
240,1000000,A1_COMPRESSED_FULL,,False
240,1000000,A2_QUICKLOOK_FIRST,,False
240,1000000,A3_ROI_FIRST,,False
240,1000000,A4_PROGRESSIVE,,False
240,5000000,A0_GROUND_ONLY,,False
240,5000000,A1_COMPRESSED_FULL,,False
240,5000000,A2_QUICKLOOK_FIRST,,False
240,5000000,A3_ROI_FIRST,,False
240,5000000,A4_PROGRESSIVE,,False
240,10000000,A0_GROUND_ONLY,,False
240,10000000,A1_COMPRESSED_FULL,260.0,True
240,10000000,A2_QUICKLOOK_FIRST,,False
240,10000000,A3_ROI_FIRST,,False
240,10000000,A4_PROGRESSIVE,,False
240,25000000,A0_GROUND_ONLY,,False
240,25000000,A1_COMPRESSED_FULL,116.0,True
240,25000000,A2_QUICKLOOK_FIRST,,False
240,25000000,A3_ROI_FIRST,,False
240,25000000,A4_PROGRESSIVE,,False
240,50000000,A0_GROUND_ONLY,160.0,True
240,50000000,A1_COMPRESSED_FULL,68.0,True
240,50000000,A2_QUICKLOOK_FIRST,165.2,True
240,50000000,A3_ROI_FIRST,196.0,True
240,50000000,A4_PROGRESSIVE,190.15349248,True
240,100000000,A0_GROUND_ONLY,80.0,True
240,100000000,A1_COMPRESSED_FULL,44.0,True
240,100000000,A2_QUICKLOOK_FIRST,83.6,True
240,100000000,A3_ROI_FIRST,108.0,True
240,100000000,A4_PROGRESSIVE,105.07674624,True
300,1000000,A0_GROUND_ONLY,,False
300,1000000,A1_COMPRESSED_FULL,,False
300,1000000,A2_QUICKLOOK_FIRST,,False
300,1000000,A3_ROI_FIRST,,False
300,1000000,A4_PROGRESSIVE,,False
300,5000000,A0_GROUND_ONLY,,False
300,5000000,A1_COMPRESSED_FULL,,False
300,5000000,A2_QUICKLOOK_FIRST,,False
300,5000000,A3_ROI_FIRST,,False
300,5000000,A4_PROGRESSIVE,,False
300,10000000,A0_GROUND_ONLY,,False
300,10000000,A1_COMPRESSED_FULL,260.0,True
300,10000000,A2_QUICKLOOK_FIRST,,False
300,10000000,A3_ROI_FIRST,,False
300,10000000,A4_PROGRESSIVE,,False
300,25000000,A0_GROUND_ONLY,,False
300,25000000,A1_COMPRESSED_FULL,116.0,True
300,25000000,A2_QUICKLOOK_FIRST,,False
300,25000000,A3_ROI_FIRST,,False
300,25000000,A4_PROGRESSIVE,,False
300,50000000,A0_GROUND_ONLY,160.0,True
300,50000000,A1_COMPRESSED_FULL,68.0,True
300,50000000,A2_QUICKLOOK_FIRST,165.2,True
300,50000000,A3_ROI_FIRST,196.0,True
300,50000000,A4_PROGRESSIVE,190.15349248,True
300,100000000,A0_GROUND_ONLY,80.0,True
300,100000000,A1_COMPRESSED_FULL,44.0,True
300,100000000,A2_QUICKLOOK_FIRST,83.6,True
300,100000000,A3_ROI_FIRST,108.0,True
300,100000000,A4_PROGRESSIVE,105.07674624,True
420,1000000,A0_GROUND_ONLY,,False
420,1000000,A1_COMPRESSED_FULL,,False
420,1000000,A2_QUICKLOOK_FIRST,,False
420,1000000,A3_ROI_FIRST,,False
420,1000000,A4_PROGRESSIVE,,False
420,5000000,A0_GROUND_ONLY,,False
420,5000000,A1_COMPRESSED_FULL,,False
420,5000000,A2_QUICKLOOK_FIRST,,False
420,5000000,A3_ROI_FIRST,,False
420,5000000,A4_PROGRESSIVE,,False
420,10000000,A0_GROUND_ONLY,,False
420,10000000,A1_COMPRESSED_FULL,260.0,True
420,10000000,A2_QUICKLOOK_FIRST,,False
420,10000000,A3_ROI_FIRST,,False
420,10000000,A4_PROGRESSIVE,,False
420,25000000,A0_GROUND_ONLY,320.0,True
420,25000000,A1_COMPRESSED_FULL,116.0,True
420,25000000,A2_QUICKLOOK_FIRST,328.4,True
420,25000000,A3_ROI_FIRST,372.0,True
420,25000000,A4_PROGRESSIVE,360.30698496,True
420,50000000,A0_GROUND_ONLY,160.0,True
420,50000000,A1_COMPRESSED_FULL,68.0,True
420,50000000,A2_QUICKLOOK_FIRST,165.2,True
420,50000000,A3_ROI_FIRST,196.0,True
420,50000000,A4_PROGRESSIVE,190.15349248,True
420,100000000,A0_GROUND_ONLY,80.0,True
420,100000000,A1_COMPRESSED_FULL,44.0,True
420,100000000,A2_QUICKLOOK_FIRST,83.6,True
420,100000000,A3_ROI_FIRST,108.0,True
420,100000000,A4_PROGRESSIVE,105.07674624,True
600,1000000,A0_GROUND_ONLY,,False
600,1000000,A1_COMPRESSED_FULL,,False
600,1000000,A2_QUICKLOOK_FIRST,,False
600,1000000,A3_ROI_FIRST,,False
600,1000000,A4_PROGRESSIVE,,False
600,5000000,A0_GROUND_ONLY,,False
600,5000000,A1_COMPRESSED_FULL,500.0,True
600,5000000,A2_QUICKLOOK_FIRST,,False
600,5000000,A3_ROI_FIRST,,False
600,5000000,A4_PROGRESSIVE,,False
600,10000000,A0_GROUND_ONLY,,False
600,10000000,A1_COMPRESSED_FULL,260.0,True
600,10000000,A2_QUICKLOOK_FIRST,,False
600,10000000,A3_ROI_FIRST,,False
600,10000000,A4_PROGRESSIVE,,False
600,25000000,A0_GROUND_ONLY,320.0,True
600,25000000,A1_COMPRESSED_FULL,116.0,True
600,25000000,A2_QUICKLOOK_FIRST,328.4,True
600,25000000,A3_ROI_FIRST,372.0,True
600,25000000,A4_PROGRESSIVE,360.30698496,True
600,50000000,A0_GROUND_ONLY,160.0,True
600,50000000,A1_COMPRESSED_FULL,68.0,True
600,50000000,A2_QUICKLOOK_FIRST,165.2,True
600,50000000,A3_ROI_FIRST,196.0,True
600,50000000,A4_PROGRESSIVE,190.15349248,True
600,100000000,A0_GROUND_ONLY,80.0,True
600,100000000,A1_COMPRESSED_FULL,44.0,True
600,100000000,A2_QUICKLOOK_FIRST,83.6,True
600,100000000,A3_ROI_FIRST,108.0,True
