profile,architecture_set,view,rank,architecture,score
TACTICAL_USER_LEANING,ORIGINAL_SET,SIMULATED_ONLY,1,Progressive,0.9999978072333896
TACTICAL_USER_LEANING,ORIGINAL_SET,SIMULATED_ONLY,2,RoiFirst,0.9908410771601581
TACTICAL_USER_LEANING,ORIGINAL_SET,SIMULATED_ONLY,3,GroundOnly,0.0
TACTICAL_USER_LEANING,ORIGINAL_SET,SIMULATED_ONLY,4,CompressedFull,0.0
TACTICAL_USER_LEANING,ORIGINAL_SET,SIMULATED_ONLY,5,QuicklookFirst,0.0
TACTICAL_USER_LEANING,ORIGINAL_SET,SIMULATED_ONLY,6,ContactAware,0.0
TACTICAL_USER_LEANING,ORIGINAL_SET,COMBINED,1,RoiFirst,0.7810887540121106
TACTICAL_USER_LEANING,ORIGINAL_SET,COMBINED,2,Progressive,0.7624984650633726
TACTICAL_USER_LEANING,ORIGINAL_SET,COMBINED,3,GroundOnly,0.25
TACTICAL_USER_LEANING,ORIGINAL_SET,COMBINED,4,ContactAware,0.1375
TACTICAL_USER_LEANING,ORIGINAL_SET,COMBINED,5,QuicklookFirst,0.1325
TACTICAL_USER_LEANING,ORIGINAL_SET,COMBINED,6,CompressedFull,0.1
TACTICAL_USER_LEANING,WITH_A6,SIMULATED_ONLY,1,ThreadAwarePriority,1.0
TACTICAL_USER_LEANING,WITH_A6,SIMULATED_ONLY,2,Progressive,0.9999978072333896
TACTICAL_USER_LEANING,WITH_A6,SIMULATED_ONLY,3,RoiFirst,0.9908410771601581
TACTICAL_USER_LEANING,WITH_A6,SIMULATED_ONLY,4,GroundOnly,0.0
TACTICAL_USER_LEANING,WITH_A6,SIMULATED_ONLY,5,CompressedFull,0.0
TACTICAL_USER_LEANING,WITH_A6,SIMULATED_ONLY,6,QuicklookFirst,0.0
TACTICAL_USER_LEANING,WITH_A6,SIMULATED_ONLY,7,ContactAware,0.0
TACTICAL_USER_LEANING,WITH_A6,COMBINED,1,RoiFirst,0.7810887540121106
TACTICAL_USER_LEANING,WITH_A6,COMBINED,2,Progressive,0.7624984650633726
TACTICAL_USER_LEANING,WITH_A6,COMBINED,3,ThreadAwarePriority,0.75
TACTICAL_USER_LEANING,WITH_A6,COMBINED,4,GroundOnly,0.25
TACTICAL_USER_LEANING,WITH_A6,COMBINED,5,ContactAware,0.1375
TACTICAL_USER_LEANING,WITH_A6,COMBINED,6,QuicklookFirst,0.1325
TACTICAL_USER_LEANING,WITH_A6,COMBINED,7,CompressedFull,0.1
ACQUISITION_LEANING,ORIGINAL_SET,SIMULATED_ONLY,1,Progressive,0.9999984650633726
ACQUISITION_LEANING,ORIGINAL_SET,SIMULATED_ONLY,2,RoiFirst,0.9935887540121107
ACQUISITION_LEANING,ORIGINAL_SET,SIMULATED_ONLY,3,GroundOnly,0.0
ACQUISITION_LEANING,ORIGINAL_SET,SIMULATED_ONLY,4,CompressedFull,0.0
ACQUISITION_LEANING,ORIGINAL_SET,SIMULATED_ONLY,5,QuicklookFirst,0.0
