capacity_bytes,adaptive_arch_name,adaptive_tfup_s,adaptive_completed,best_static_arch_name,best_static_tfup_s
50000000,QuicklookFirst,19.0,False,,nan
100000000,QuicklookFirst,19.0,False,,nan
150000000,RoiFirst,110.0,False,,nan
200000000,RoiFirst,110.0,False,,nan
250000000,RoiFirst,110.0,False,,nan
300000000,RoiFirst,110.0,False,CompressedFull,270.0
350000000,RoiFirst,110.0,False,CompressedFull,270.0
400000000,CompressedFull,270.0,True,CompressedFull,270.0
450000000,CompressedFull,270.0,True,CompressedFull,270.0
500000000,CompressedFull,270.0,True,CompressedFull,270.0
550000000,CompressedFull,270.0,True,CompressedFull,270.0
600000000,CompressedFull,270.0,True,CompressedFull,270.0
650000000,CompressedFull,270.0,True,CompressedFull,270.0
700000000,CompressedFull,270.0,True,CompressedFull,270.0
750000000,CompressedFull,270.0,True,CompressedFull,270.0
800000000,CompressedFull,270.0,True,CompressedFull,270.0
850000000,CompressedFull,270.0,True,CompressedFull,270.0
900000000,CompressedFull,270.0,True,CompressedFull,270.0
950000000,CompressedFull,270.0,True,CompressedFull,270.0
1000000000,CompressedFull,270.0,True,CompressedFull,270.0
1050000000,CompressedFull,270.0,True,QuicklookFirst,19.0
1100000000,CompressedFull,270.0,True,QuicklookFirst,19.0
1150000000,CompressedFull,270.0,True,QuicklookFirst,19.0
1200000000,CompressedFull,270.0,True,QuicklookFirst,19.0
