time_iso,single_in_contact,constellation_in_contact,single_queue_bytes,constellation_queue_bytes,handoff_sat_id
2020-01-01T00:00:00Z,0,0,15728640,15728640,
2020-01-01T00:00:30Z,0,0,31457280,31457280,
2020-01-01T00:01:00Z,0,0,47185920,47185920,
2020-01-01T00:01:30Z,0,0,62914560,62914560,
2020-01-01T00:02:00Z,0,0,78643200,78643200,
2020-01-01T00:02:30Z,0,0,94371840,94371840,
2020-01-01T00:03:00Z,0,0,110100480,110100480,
2020-01-01T00:03:30Z,0,0,125829120,125829120,
2020-01-01T00:04:00Z,0,0,141557760,141557760,
2020-01-01T00:04:30Z,0,0,157286400,157286400,
2020-01-01T00:05:00Z,0,0,173015040,173015040,
2020-01-01T00:05:30Z,0,0,188743680,188743680,
2020-01-01T00:06:00Z,1,1,125829120,125829120,
2020-01-01T00:06:30Z,1,1,62914560,62914560,
2020-01-01T00:07:00Z,1,1,0,0,
2020-01-01T00:07:30Z,1,1,0,0,
2020-01-01T00:08:00Z,1,1,0,0,
2020-01-01T00:08:30Z,1,1,0,0,
2020-01-01T00:09:00Z,1,1,0,0,
2020-01-01T00:09:30Z,1,1,0,0,
2020-01-01T00:10:00Z,1,1,0,0,
2020-01-01T00:10:30Z,1,1,0,0,
2020-01-01T00:11:00Z,1,1,0,0,
2020-01-01T00:11:30Z,1,1,0,0,
2020-01-01T00:12:00Z,1,1,0,0,
2020-01-01T00:12:30Z,1,1,0,0,
2020-01-01T00:13:00Z,0,0,15728640,15728640,
2020-01-01T00:13:30Z,0,0,31457280,31457280,
2020-01-01T00:14:00Z,0,0,47185920,47185920,
2020-01-01T00:14:30Z,0,0,62914560,62914560,
2020-01-01T00:15:00Z,0,0,78643200,78643200,
2020-01-01T00:15:30Z,0,0,94371840,94371840,
2020-01-01T00:16:00Z,0,0,110100480,110100480,
2020-01-01T00:16:30Z,0,0,125829120,125829120,
2020-01-01T00:17:00Z,0,0,141557760,141557760,
2020-01-01T00:17:30Z,0,0,157286400,157286400,
2020-01-01T00:18:00Z,0,0,173015040,173015040,
2020-01-01T00:18:30Z,0,0,188743680,188743680,
2020-01-01T00:19:00Z,0,0,204472320,204472320,
2020-01-01T00:19:30Z,0,0,220200960,220200960,
2020-01-01T00:20:00Z,0,0,235929600,235929600,
2020-01-01T00:20:30Z,0,0,251658240,251658240,
2020-01-01T00:21:00Z,0,0,267386880,267386880,
2020-01-01T00:21:30Z,0,0,283115520,283115520,
2020-01-01T00:22:00Z,0,0,298844160,298844160,
2020-01-01T00:22:30Z,0,0,314572800,314572800,
2020-01-01T00:23:00Z,0,0,330301440,330301440,
2020-01-01T00:23:30Z,0,0,346030080,346030080,
2020-01-01T00:24:00Z,0,0,361758720,361758720,
2020-01-01T00:24:30Z,0,0,377487360,377487360,
2020-01-01T00:25:00Z,0,0,393216000,393216000,
2020-01-01T00:25:30Z,0,0,408944640,408944640,
2020-01-01T00:26:00Z,0,0,424673280,424673280,
2020-01-01T00:26:30Z,0,0,440401920,440401920,
2020-01-01T00:27:00Z,0,0,456130560,456130560,
2020-01-01T00:27:30Z,0,0,471859200,471859200,
2020-01-01T00:28:00Z,0,0,487587840,487587840,
2020-01-01T00:28:30Z,0,0,503316480,503316480,
2020-01-01T00:29:00Z,0,0,519045120,519045120,
2020-01-01T00:29:30Z,0,0,534773760,534773760,
2020-01-01T00:30:00Z,0,0,550502400,550502400,
2020-01-01T00:30:30Z,0,0,566231040,566231040,
2020-01-01T00:31:00Z,0,0,581959680,581959680,
2020-01-01T00:31:30Z,0,0,597688320,597688320,
2020-01-01T00:32:00Z,0,0,613416960,613416960,
2020-01-01T00:32:30Z,0,0,629145600,629145600,
2020-01-01T00:33:00Z,0,0,644874240,644874240,
2020-01-01T00:33:30Z,0,0,660602880,660602880,
2020-01-01T00:34:00Z,0,0,676331520,676331520,
2020-01-01T00:34:30Z,0,0,692060160,692060160,
2020-01-01T00:35:00Z,0,0,707788800,707788800,
2020-01-01T00:35:30Z,0,0,723517440,723517440,
2020-01-01T00:36:00Z,0,0,739246080,739246080,
2020-01-01T00:36:30Z,0,0,754974720,754974720,
2020-01-01T00:37:00Z,0,0,770703360,770703360,
2020-01-01T00:37:30Z,0,0,786432000,786432000,
2020-01-01T00:38:00Z,0,0,802160640,802160640,
2020-01-01T00:38:30Z,0,0,817889280,817889280,
2020-01-01T00:39:00Z,0,0,833617920,833617920,
2020-01-01T00:39:30Z,0,0,849346560,849346560,
2020-01-01T00:40:00Z,0,0,865075200,865075200,
2020-01-01T00:40:30Z,0,0,880803840,880803840,
2020-01-01T00:41:00Z,0,0,896532480,896532480,
2020-01-01T00:41:30Z,0,0,912261120,912261120,
2020-01-01T00:42:00Z,0,0,927989760,927989760,
2020-01-01T00:42:30Z,0,0,943718400,943718400,
2020-01-01T00:43:00Z,0,0,959447040,959447040,
2020-01-01T00:43:30Z,0,0,975175680,975175680,
2020-01-01T00:44:00Z,0,0,990904320,990904320,
2020-01-01T00:44:30Z,0,0,1006632960,1006632960,
2020-01-01T00:45:00Z,0,0,1022361600,1022361600,
2020-01-01T00:45:30Z,0,0,1038090240,1038090240,
2020-01-01T00:46:00Z,0,0,1053818880,1053818880,
2020-01-01T00:46:30Z,0,0,1069547520,1069547520,
2020-01-01T00:47:00Z,0,0,1085276160,1085276160,
2020-01-01T00:47:30Z,0,0,1101004800,1101004800,
2020-01-01T00:48:00Z,0,0,1116733440,1116733440,
2020-01-01T00:48:30Z,0,0,1132462080,1132462080,
2020-01-01T00:49:00Z,0,0,1148190720,1148190720,
2020-01-01T00:49:30Z,0,0,1163919360,1163919360,
2020-01-01T00:50:00Z,0,0,1179648000,1179648000,
2020-01-01T00:50:30Z,0,0,1195376640,1195376640,
2020-01-01T00:51:00Z,0,0,1211105280,1211105280,
2020-01-01T00:51:30Z,0,0,1226833920,1226833920,
2020-01-01T00:52:00Z,0,0,1242562560,1242562560,
2020-01-01T00:52:30Z,0,0,1258291200,1258291200,
2020-01-01T00:53:00Z,0,0,1274019840,1274019840,
2020-01-01T00:53:30Z,0,0,1289748480,1289748480,
2020-01-01T00:54:00Z,0,0,1305477120,1305477120,
2020-01-01T00:54:30Z,0,0,1321205760,1321205760,
2020-01-01T00:55:00Z,0,0,1336934400,1336934400,
2020-01-01T00:55:30Z,0,0,1352663040,1352663040,
2020-01-01T00:56:00Z,0,0,1368391680,1368391680,
2020-01-01T00:56:30Z,0,0,1384120320,1384120320,
2020-01-01T00:57:00Z,0,0,1399848960,1399848960,
2020-01-01T00:57:30Z,0,0,1415577600,1415577600,
2020-01-01T00:58:00Z,0,0,1431306240,1431306240,
2020-01-01T00:58:30Z,0,0,1447034880,1447034880,
2020-01-01T00:59:00Z,0,0,1462763520,1462763520,
2020-01-01T00:59:30Z,0,0,1478492160,1478492160,
2020-01-01T01:00:00Z,0,0,1494220800,1494220800,
2020-01-01T01:00:30Z,0,0,1509949440,1509949440,
2020-01-01T01:01:00Z,0,0,1525678080,1525678080,
2020-01-01T01:01:30Z,0,0,1541406720,1541406720,
2020-01-01T01:02:00Z,0,0,1557135360,1557135360,
2020-01-01T01:02:30Z,0,0,1572864000,1572864000,
2020-01-01T01:03:00Z,0,0,1588592640,1588592640,
2020-01-01T01:03:30Z,0,0,1604321280,1604321280,
2020-01-01T01:04:00Z,0,0,1620049920,1620049920,
2020-01-01T01:04:30Z,0,0,1635778560,1635778560,
2020-01-01T01:05:00Z,0,0,1651507200,1651507200,
2020-01-01T01:05:30Z,0,0,1667235840,1667235840,
2020-01-01T01:06:00Z,0,0,1682964480,1682964480,
2020-01-01T01:06:30Z,0,0,1698693120,1698693120,
2020-01-01T01:07:00Z,0,0,1714421760,1714421760,
2020-01-01T01:07:30Z,0,0,1730150400,1730150400,
2020-01-01T01:08:00Z,0,0,1745879040,1745879040,
2020-01-01T01:08:30Z,0,0,1761607680,1761607680,
2020-01-01T01:09:00Z,0,0,1777336320,1777336320,
2020-01-01T01:09:30Z,0,0,1793064960,1793064960,
2020-01-01T01:10:00Z,0,0,1808793600,1808793600,
2020-01-01T01:10:30Z,0,0,1824522240,1824522240,
2020-01-01T01:11:00Z,0,0,1840250880,1840250880,
2020-01-01T01:11:30Z,0,0,1855979520,1855979520,
2020-01-01T01:12:00Z,0,0,1871708160,1871708160,
2020-01-01T01:12:30Z,0,0,1887436800,1887436800,
2020-01-01T01:13:00Z,0,0,1903165440,1903165440,
2020-01-01T01:13:30Z,0,0,1918894080,1918894080,
2020-01-01T01:14:00Z,0,0,1934622720,1934622720,
2020-01-01T01:14:30Z,0,0,1950351360,1950351360,
2020-01-01T01:15:00Z,0,0,1966080000,1966080000,
2020-01-01T01:15:30Z,0,0,1981808640,1981808640,
2020-01-01T01:16:00Z,0,0,1997537280,1997537280,
2020-01-01T01:16:30Z,0,0,2013265920,2013265920,
2020-01-01T01:17:00Z,0,0,2028994560,2028994560,
2020-01-01T01:17:30Z,0,0,2044723200,2044723200,
2020-01-01T01:18:00Z,0,0,2060451840,2060451840,
2020-01-01T01:18:30Z,0,0,2076180480,2076180480,
2020-01-01T01:19:00Z,0,0,2091909120,2091909120,
2020-01-01T01:19:30Z,0,0,2107637760,2107637760,
2020-01-01T01:20:00Z,0,0,2123366400,2123366400,
2020-01-01T01:20:30Z,0,0,2139095040,2139095040,
2020-01-01T01:21:00Z,0,0,2154823680,2154823680,
2020-01-01T01:21:30Z,0,0,2170552320,2170552320,
2020-01-01T01:22:00Z,0,0,2186280960,2186280960,
2020-01-01T01:22:30Z,0,0,2202009600,2202009600,
2020-01-01T01:23:00Z,0,0,2217738240,2217738240,
2020-01-01T01:23:30Z,0,0,2233466880,2233466880,
2020-01-01T01:24:00Z,0,0,2249195520,2249195520,
2020-01-01T01:24:30Z,0,0,2264924160,2264924160,
2020-01-01T01:25:00Z,0,0,2280652800,2280652800,
2020-01-01T01:25:30Z,0,0,2296381440,2296381440,
2020-01-01T01:26:00Z,0,0,2312110080,2312110080,
2020-01-01T01:26:30Z,0,0,2327838720,2327838720,
2020-01-01T01:27:00Z,0,0,2343567360,2343567360,
2020-01-01T01:27:30Z,0,0,2359296000,2359296000,
2020-01-01T01:28:00Z,0,0,2375024640,2375024640,
2020-01-01T01:28:30Z,0,0,2390753280,2390753280,
2020-01-01T01:29:00Z,0,0,2406481920,2406481920,
2020-01-01T01:29:30Z,0,0,2422210560,2422210560,
2020-01-01T01:30:00Z,0,0,2437939200,2437939200,
2020-01-01T01:30:30Z,0,0,2453667840,2453667840,
2020-01-01T01:31:00Z,0,0,2469396480,2469396480,
2020-01-01T01:31:30Z,0,0,2485125120,2485125120,
2020-01-01T01:32:00Z,0,0,2500853760,2500853760,
2020-01-01T01:32:30Z,0,0,2516582400,2516582400,
2020-01-01T01:33:00Z,0,0,2532311040,2532311040,
2020-01-01T01:33:30Z,0,0,2548039680,2548039680,
2020-01-01T01:34:00Z,0,0,2563768320,2563768320,
2020-01-01T01:34:30Z,0,0,2579496960,2579496960,
2020-01-01T01:35:00Z,0,0,2595225600,2595225600,
2020-01-01T01:35:30Z,0,0,2610954240,2610954240,
2020-01-01T01:36:00Z,0,0,2626682880,2626682880,
2020-01-01T01:36:30Z,0,0,2642411520,2642411520,
2020-01-01T01:37:00Z,0,0,2658140160,2658140160,
2020-01-01T01:37:30Z,0,0,2673868800,2673868800,
2020-01-01T01:38:00Z,0,0,2689597440,2689597440,
2020-01-01T01:38:30Z,0,0,2705326080,2705326080,
2020-01-01T01:39:00Z,0,0,2721054720,2721054720,
2020-01-01T01:39:30Z,0,0,2736783360,2736783360,
2020-01-01T01:40:00Z,0,0,2752512000,2752512000,
2020-01-01T01:40:30Z,0,0,2768240640,2768240640,
2020-01-01T01:41:00Z,0,0,2783969280,2783969280,
2020-01-01T01:41:30Z,0,0,2799697920,2799697920,
2020-01-01T01:42:00Z,0,0,2815426560,2815426560,
2020-01-01T01:42:30Z,0,0,2831155200,2831155200,
2020-01-01T01:43:00Z,0,0,2846883840,2846883840,
2020-01-01T01:43:30Z,0,0,2862612480,2862612480,
2020-01-01T01:44:00Z,0,0,2878341120,2878341120,
2020-01-01T01:44:30Z,0,0,2894069760,2894069760,
2020-01-01T01:45:00Z,0,0,2909798400,2909798400,
2020-01-01T01:45:30Z,0,0,2925527040,2925527040,
2020-01-01T01:46:00Z,0,0,2941255680,2941255680,
2020-01-01T01:46:30Z,0,0,2956984320,2956984320,
2020-01-01T01:47:00Z,0,0,2972712960,2972712960,
2020-01-01T01:47:30Z,0,0,2988441600,2988441600,
2020-01-01T01:48:00Z,0,0,3004170240,3004170240,
2020-01-01T01:48:30Z,0,0,3019898880,3019898880,
2020-01-01T01:49:00Z,0,0,3035627520,3035627520,
2020-01-01T01:49:30Z,0,0,3051356160,3051356160,
2020-01-01T01:50:00Z,0,0,3067084800,3067084800,
2020-01-01T01:50:30Z,0,0,3082813440,3082813440,
2020-01-01T01:51:00Z,0,0,3098542080,3098542080,
2020-01-01T01:51:30Z,0,0,3114270720,3114270720,
2020-01-01T01:52:00Z,0,0,3129999360,3129999360,
2020-01-01T01:52:30Z,0,0,3145728000,3145728000,
2020-01-01T01:53:00Z,0,0,3161456640,3161456640,
2020-01-01T01:53:30Z,0,0,3177185280,3177185280,
2020-01-01T01:54:00Z,0,0,3192913920,3192913920,
2020-01-01T01:54:30Z,0,0,3208642560,3208642560,
2020-01-01T01:55:00Z,0,0,3224371200,3224371200,
2020-01-01T01:55:30Z,0,0,3240099840,3240099840,
2020-01-01T01:56:00Z,0,0,3255828480,3255828480,
2020-01-01T01:56:30Z,0,0,3271557120,3271557120,
2020-01-01T01:57:00Z,0,0,3287285760,3287285760,
2020-01-01T01:57:30Z,0,0,3303014400,3303014400,
2020-01-01T01:58:00Z,0,0,3318743040,3318743040,
2020-01-01T01:58:30Z,0,0,3334471680,3334471680,
2020-01-01T01:59:00Z,0,0,3350200320,3350200320,
2020-01-01T01:59:30Z,0,0,3365928960,3365928960,
2020-01-01T02:00:00Z,0,0,3381657600,3381657600,
2020-01-01T02:00:30Z,0,0,3397386240,3397386240,
