architecture,thread,terminal_class,condition,trial_idx,total_passes,passes_met,cadence_rate,structural_incapacity,success
GroundOnly,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,0,0,0,0.0,True,False
CompressedFull,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,0,0,0,0.0,True,False
QuicklookFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,0,0,0,0.0,True,False
RoiFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,0,0,0,0.0,True,False
Progressive,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,0,28,28,1.0,False,True
ContactAware,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,0,0,0,0.0,True,False
ThreadAwarePriority,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,0,28,28,1.0,False,True
GroundOnly,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,1,0,0,0.0,True,False
CompressedFull,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,1,0,0,0.0,True,False
QuicklookFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,1,0,0,0.0,True,False
RoiFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,1,0,0,0.0,True,False
Progressive,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,1,28,28,1.0,False,True
ContactAware,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,1,0,0,0.0,True,False
ThreadAwarePriority,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,1,28,28,1.0,False,True
GroundOnly,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,2,0,0,0.0,True,False
CompressedFull,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,2,0,0,0.0,True,False
QuicklookFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,2,0,0,0.0,True,False
RoiFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,2,0,0,0.0,True,False
Progressive,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,2,28,28,1.0,False,True
ContactAware,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,2,0,0,0.0,True,False
ThreadAwarePriority,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,2,28,28,1.0,False,True
GroundOnly,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,3,0,0,0.0,True,False
CompressedFull,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,3,0,0,0.0,True,False
QuicklookFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,3,0,0,0.0,True,False
RoiFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,3,0,0,0.0,True,False
Progressive,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,3,28,28,1.0,False,True
ContactAware,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,3,0,0,0.0,True,False
ThreadAwarePriority,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,3,28,28,1.0,False,True
GroundOnly,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,4,0,0,0.0,True,False
CompressedFull,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,4,0,0,0.0,True,False
QuicklookFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,4,0,0,0.0,True,False
RoiFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,4,0,0,0.0,True,False
Progressive,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,4,28,28,1.0,False,True
ContactAware,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,4,0,0,0.0,True,False
ThreadAwarePriority,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,4,28,28,1.0,False,True
GroundOnly,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,5,0,0,0.0,True,False
CompressedFull,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,5,0,0,0.0,True,False
QuicklookFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,5,0,0,0.0,True,False
RoiFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,5,0,0,0.0,True,False
Progressive,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,5,28,28,1.0,False,True
ContactAware,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,5,0,0,0.0,True,False
ThreadAwarePriority,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,5,28,28,1.0,False,True
GroundOnly,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,6,0,0,0.0,True,False
CompressedFull,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,6,0,0,0.0,True,False
QuicklookFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,6,0,0,0.0,True,False
RoiFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,6,0,0,0.0,True,False
Progressive,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,6,28,28,1.0,False,True
ContactAware,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,6,0,0,0.0,True,False
ThreadAwarePriority,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,6,28,28,1.0,False,True
GroundOnly,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,7,0,0,0.0,True,False
CompressedFull,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,7,0,0,0.0,True,False
QuicklookFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,7,0,0,0.0,True,False
RoiFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,7,0,0,0.0,True,False
Progressive,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,7,28,28,1.0,False,True
ContactAware,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,7,0,0,0.0,True,False
ThreadAwarePriority,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,7,28,28,1.0,False,True
GroundOnly,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,8,0,0,0.0,True,False
CompressedFull,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,8,0,0,0.0,True,False
QuicklookFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,8,0,0,0.0,True,False
RoiFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,8,0,0,0.0,True,False
Progressive,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,8,28,28,1.0,False,True
ContactAware,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,8,0,0,0.0,True,False
ThreadAwarePriority,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,8,28,28,1.0,False,True
GroundOnly,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,9,0,0,0.0,True,False
