satellites,planes,terminals,architecture,thread,n_trials,successes,success_rate,success_rate_ci_lower,success_rate_ci_upper
1,1,1,CompressedFull,MT1_TIME_SENSITIVE_CUEING,160,0,0.0,0.0,0.023447036650032713
1,1,1,CompressedFull,MT2_ROUTE_RECON_FIRST,160,0,0.0,0.0,0.023447036650032713
1,1,1,CompressedFull,MT3_BATTLE_DAMAGE_ASSESSMENT,160,0,0.0,0.0,0.023447036650032713
1,1,1,CompressedFull,MT4_PERSISTENT_MONITORING,24,0,0.0,0.0,0.13798057582897535
1,1,1,ContactAware,MT1_TIME_SENSITIVE_CUEING,160,0,0.0,0.0,0.023447036650032713
1,1,1,ContactAware,MT2_ROUTE_RECON_FIRST,160,0,0.0,0.0,0.023447036650032713
1,1,1,ContactAware,MT3_BATTLE_DAMAGE_ASSESSMENT,160,0,0.0,0.0,0.023447036650032713
1,1,1,ContactAware,MT4_PERSISTENT_MONITORING,24,0,0.0,0.0,0.13798057582897535
1,1,1,GroundOnly,MT1_TIME_SENSITIVE_CUEING,160,0,0.0,0.0,0.023447036650032713
1,1,1,GroundOnly,MT2_ROUTE_RECON_FIRST,160,0,0.0,0.0,0.023447036650032713
1,1,1,GroundOnly,MT3_BATTLE_DAMAGE_ASSESSMENT,160,0,0.0,0.0,0.023447036650032713
1,1,1,GroundOnly,MT4_PERSISTENT_MONITORING,24,0,0.0,0.0,0.13798057582897535
1,1,1,Progressive,MT1_TIME_SENSITIVE_CUEING,160,0,0.0,0.0,0.023447036650032713
1,1,1,Progressive,MT2_ROUTE_RECON_FIRST,160,3,0.01875,0.00639673490167721,0.05367103787397927
1,1,1,Progressive,MT3_BATTLE_DAMAGE_ASSESSMENT,160,1,0.00625,0.00110410335439148,0.03454984533751582
1,1,1,Progressive,MT4_PERSISTENT_MONITORING,24,12,0.5,0.31427131627763083,0.6857286837223692
1,1,1,QuicklookFirst,MT1_TIME_SENSITIVE_CUEING,160,0,0.0,0.0,0.023447036650032713
1,1,1,QuicklookFirst,MT2_ROUTE_RECON_FIRST,160,0,0.0,0.0,0.023447036650032713
1,1,1,QuicklookFirst,MT3_BATTLE_DAMAGE_ASSESSMENT,160,0,0.0,0.0,0.023447036650032713
1,1,1,QuicklookFirst,MT4_PERSISTENT_MONITORING,24,0,0.0,0.0,0.13798057582897535
1,1,1,RoiFirst,MT1_TIME_SENSITIVE_CUEING,160,0,0.0,0.0,0.023447036650032713
1,1,1,RoiFirst,MT2_ROUTE_RECON_FIRST,160,3,0.01875,0.00639673490167721,0.05367103787397927
1,1,1,RoiFirst,MT3_BATTLE_DAMAGE_ASSESSMENT,160,1,0.00625,0.00110410335439148,0.03454984533751582
1,1,1,RoiFirst,MT4_PERSISTENT_MONITORING,24,0,0.0,0.0,0.13798057582897535
1,1,1,ThreadAwarePriority,MT1_TIME_SENSITIVE_CUEING,160,0,0.0,0.0,0.023447036650032713
1,1,1,ThreadAwarePriority,MT2_ROUTE_RECON_FIRST,160,3,0.01875,0.00639673490167721,0.05367103787397927
1,1,1,ThreadAwarePriority,MT3_BATTLE_DAMAGE_ASSESSMENT,160,1,0.00625,0.00110410335439148,0.03454984533751582
1,1,1,ThreadAwarePriority,MT4_PERSISTENT_MONITORING,24,12,0.5,0.31427131627763083,0.6857286837223692
1,1,2,CompressedFull,MT1_TIME_SENSITIVE_CUEING,160,0,0.0,0.0,0.023447036650032713
1,1,2,CompressedFull,MT2_ROUTE_RECON_FIRST,160,0,0.0,0.0,0.023447036650032713
