satellites,planes,terminals,status,best_architecture_or_reason
1,1,1,UNINFORMATIVE,
1,1,2,UNINFORMATIVE,
1,1,4,UNINFORMATIVE,
2,1,1,UNINFORMATIVE,
2,1,2,UNINFORMATIVE,
2,1,4,UNINFORMATIVE,
4,1,1,UNINFORMATIVE,
4,1,2,UNINFORMATIVE,
4,1,4,UNINFORMATIVE,
4,4,1,UNINFORMATIVE,
4,4,2,UNINFORMATIVE,
4,4,4,UNINFORMATIVE,
8,4,1,UNINFORMATIVE,
8,4,2,UNINFORMATIVE,
8,4,4,UNINFORMATIVE,
16,4,1,UNINFORMATIVE,
16,4,2,UNINFORMATIVE,
16,4,4,UNINFORMATIVE,
24,8,1,UNINFORMATIVE,
24,8,2,UNINFORMATIVE,
24,8,4,TIES,NO_SIGNIFICANT_DIFFERENCE
