satellites,planes,terminals,processing_tiers,relative_cost,success_rate
1,1,1,4,17.0,0.01020408163265306
1,1,2,4,20.0,0.012755102040816327
1,1,4,4,26.0,0.013605442176870748
2,1,1,4,27.0,0.013605442176870748
2,1,2,4,30.0,0.015589569160997732
2,1,4,4,36.0,0.015873015873015872
4,1,1,4,47.0,0.025793650793650792
4,1,2,4,50.0,0.02295918367346939
4,1,4,4,56.0,0.026360544217687076
4,4,1,4,47.0,0.03231292517006803
4,4,2,4,50.0,0.031179138321995464
4,4,4,4,56.0,0.02834467120181406
8,4,1,4,87.0,0.02834467120181406
8,4,2,4,90.0,0.040249433106575964
8,4,4,4,96.0,0.022108843537414966
16,4,1,4,167.0,0.06689342403628118
16,4,2,4,170.0,0.07001133786848072
16,4,4,4,176.0,0.08871882086167801
24,8,1,4,247.0,0.07653061224489796
24,8,2,4,250.0,0.10119047619047619
24,8,4,4,256.0,0.1235827664399093
