satellites,planes,thread,tolerance_s,structural_floor_s,revisit_floor_s,median_revisit_gap_s,max_revisit_gap_s,n_aoi_events,status
1,1,MT1_TIME_SENSITIVE_CUEING,120,81.6777216,2931.6777216,5700.0,41670.0,28,INFEASIBLE_AT_THIS_ACCESS
1,1,MT2_ROUTE_RECON_FIRST,900,88.388608,2938.388608,5700.0,41670.0,28,INFEASIBLE_AT_THIS_ACCESS
1,1,MT3_BATTLE_DAMAGE_ASSESSMENT,600,88.388608,2938.388608,5700.0,41670.0,28,INFEASIBLE_AT_THIS_ACCESS
1,1,MT4_PERSISTENT_MONITORING,300,80.08388608,2930.08388608,5700.0,41670.0,28,INFEASIBLE_AT_THIS_ACCESS
2,1,MT1_TIME_SENSITIVE_CUEING,120,81.6777216,1506.6777216,2850.0,38820.0,55,INFEASIBLE_AT_THIS_ACCESS
2,1,MT2_ROUTE_RECON_FIRST,900,88.388608,1513.388608,2850.0,38820.0,55,INFEASIBLE_AT_THIS_ACCESS
2,1,MT3_BATTLE_DAMAGE_ASSESSMENT,600,88.388608,1513.388608,2850.0,38820.0,55,INFEASIBLE_AT_THIS_ACCESS
2,1,MT4_PERSISTENT_MONITORING,300,80.08388608,1505.08388608,2850.0,38820.0,55,INFEASIBLE_AT_THIS_ACCESS
4,1,MT1_TIME_SENSITIVE_CUEING,120,81.6777216,786.6777216,1410.0,38820.0,103,INFEASIBLE_AT_THIS_ACCESS
4,1,MT2_ROUTE_RECON_FIRST,900,88.388608,793.388608,1410.0,38820.0,103,FEASIBLE
4,1,MT3_BATTLE_DAMAGE_ASSESSMENT,600,88.388608,793.388608,1410.0,38820.0,103,INFEASIBLE_AT_THIS_ACCESS
4,1,MT4_PERSISTENT_MONITORING,300,80.08388608,785.08388608,1410.0,38820.0,103,INFEASIBLE_AT_THIS_ACCESS
4,4,MT1_TIME_SENSITIVE_CUEING,120,81.6777216,2211.6777216,4260.0,11610.0,112,INFEASIBLE_AT_THIS_ACCESS
4,4,MT2_ROUTE_RECON_FIRST,900,88.388608,2218.388608,4260.0,11610.0,112,INFEASIBLE_AT_THIS_ACCESS
4,4,MT3_BATTLE_DAMAGE_ASSESSMENT,600,88.388608,2218.388608,4260.0,11610.0,112,INFEASIBLE_AT_THIS_ACCESS
4,4,MT4_PERSISTENT_MONITORING,300,80.08388608,2210.08388608,4260.0,11610.0,112,INFEASIBLE_AT_THIS_ACCESS
8,4,MT1_TIME_SENSITIVE_CUEING,120,81.6777216,1491.6777216,2820.0,10890.0,207,INFEASIBLE_AT_THIS_ACCESS
8,4,MT2_ROUTE_RECON_FIRST,900,88.388608,1498.388608,2820.0,10890.0,207,INFEASIBLE_AT_THIS_ACCESS
8,4,MT3_BATTLE_DAMAGE_ASSESSMENT,600,88.388608,1498.388608,2820.0,10890.0,207,INFEASIBLE_AT_THIS_ACCESS
8,4,MT4_PERSISTENT_MONITORING,300,80.08388608,1490.08388608,2820.0,10890.0,207,INFEASIBLE_AT_THIS_ACCESS
16,4,MT1_TIME_SENSITIVE_CUEING,120,81.6777216,441.6777216,720.0,9150.0,414,INFEASIBLE_AT_THIS_ACCESS
16,4,MT2_ROUTE_RECON_FIRST,900,88.388608,448.388608,720.0,9150.0,414,FEASIBLE
16,4,MT3_BATTLE_DAMAGE_ASSESSMENT,600,88.388608,448.388608,720.0,9150.0,414,FEASIBLE
16,4,MT4_PERSISTENT_MONITORING,300,80.08388608,440.08388608,720.0,9150.0,414,INFEASIBLE_AT_THIS_ACCESS
24,8,MT1_TIME_SENSITIVE_CUEING,120,81.6777216,726.6777216,1290.0,1890.0,623,INFEASIBLE_AT_THIS_ACCESS
24,8,MT2_ROUTE_RECON_FIRST,900,88.388608,733.388608,1290.0,1890.0,623,FEASIBLE
24,8,MT3_BATTLE_DAMAGE_ASSESSMENT,600,88.388608,733.388608,1290.0,1890.0,623,INFEASIBLE_AT_THIS_ACCESS
24,8,MT4_PERSISTENT_MONITORING,300,80.08388608,725.08388608,1290.0,1890.0,623,INFEASIBLE_AT_THIS_ACCESS
