satellites,planes,terminals,architecture,time_to_25pct_failed_s,time_to_50pct_failed_s,time_to_75pct_failed_s,final_survival
1,1,1,CompressedFull,nan,nan,nan,1.0
1,1,1,ContactAware,nan,nan,nan,1.0
1,1,1,GroundOnly,nan,nan,nan,1.0
1,1,1,Progressive,9178.374301171585,20974.409835749455,33421.88146846731,0.05625000000000035
1,1,1,QuicklookFirst,31832.930023624405,nan,nan,0.687500000000001
1,1,1,RoiFirst,17853.247410667667,36342.76868366334,nan,0.3708333333333349
1,1,1,ThreadAwarePriority,8138.353074193817,20144.375447344268,32723.64722239437,0.05625000000000035
1,1,2,CompressedFull,nan,nan,nan,1.0
1,1,2,ContactAware,nan,nan,nan,1.0
1,1,2,GroundOnly,nan,nan,nan,1.0
1,1,2,Progressive,8148.126944817277,19652.77093080168,32814.18300048635,0.02916666666666684
1,1,2,QuicklookFirst,29798.62651834998,nan,nan,0.681250000000001
1,1,2,RoiFirst,17935.771247665514,36914.57605542833,nan,0.35208333333333475
1,1,2,ThreadAwarePriority,8006.4166834966245,18838.205364708672,32393.488053583933,0.02916666666666684
1,1,4,CompressedFull,nan,nan,nan,1.0
1,1,4,ContactAware,nan,nan,nan,1.0
1,1,4,GroundOnly,nan,nan,nan,1.0
1,1,4,Progressive,7782.846883656439,17386.60761478445,29600.50283103199,0.039583333333333574
1,1,4,QuicklookFirst,28076.28653936576,nan,nan,0.6895833333333343
1,1,4,RoiFirst,14697.530581462022,32604.492576648714,nan,0.35208333333333475
1,1,4,ThreadAwarePriority,7252.926644667403,17364.76568291844,29227.321056926656,0.039583333333333574
24,8,1,CompressedFull,nan,nan,nan,1.0
24,8,1,ContactAware,nan,nan,nan,1.0
24,8,1,GroundOnly,nan,nan,nan,1.0
24,8,1,Progressive,579.6110518234182,1374.8643562024386,6569.144301694976,0.01458333333333342
24,8,1,QuicklookFirst,1793.4602832404955,nan,nan,0.6687500000000011
24,8,1,RoiFirst,5639.185196726321,42253.99794520464,nan,0.35625000000000145
24,8,1,ThreadAwarePriority,570.0779367453667,1263.7169423676212,6393.745294368259,0.012500000000000074
24,8,2,CompressedFull,nan,nan,nan,1.0
24,8,2,ContactAware,nan,nan,nan,1.0
24,8,2,GroundOnly,nan,nan,nan,1.0
24,8,2,Progressive,477.3515804635028,1249.7876999129912,6472.117360677236,0.018750000000000114
24,8,2,QuicklookFirst,6209.40142738028,nan,nan,0.6729166666666677
24,8,2,RoiFirst,1319.9530282290652,36094.57920911665,nan,0.3458333333333347
24,8,2,ThreadAwarePriority,461.1262632016239,1142.329177925619,6304.903344917832,0.018750000000000114
24,8,4,CompressedFull,nan,nan,nan,1.0
24,8,4,ContactAware,nan,nan,nan,1.0
24,8,4,GroundOnly,nan,nan,nan,1.0
24,8,4,Progressive,476.0649771113999,922.4992455349582,5757.831690947434,0.0
24,8,4,QuicklookFirst,1614.237697889388,nan,nan,0.6666666666666677
24,8,4,RoiFirst,833.190089783966,6606.643234057585,nan,0.341666666666668
24,8,4,ThreadAwarePriority,464.3176878824004,904.8831687349582,5577.304330868582,0.0
