satellites,planes,terminals,architecture_a,architecture_b,n_paired_trials,diff_a_minus_b,significant
24,8,4,CompressedFull,ContactAware,504,0.0,False
24,8,4,CompressedFull,GroundOnly,504,0.0,False
24,8,4,CompressedFull,Progressive,504,-0.30753968253968256,True
24,8,4,CompressedFull,QuicklookFirst,504,-0.005952380952380952,False
24,8,4,CompressedFull,RoiFirst,504,-0.2400793650793651,True
24,8,4,CompressedFull,ThreadAwarePriority,504,-0.3115079365079365,True
24,8,4,ContactAware,GroundOnly,504,0.0,False
24,8,4,ContactAware,Progressive,504,-0.30753968253968256,True
24,8,4,ContactAware,QuicklookFirst,504,-0.005952380952380952,False
24,8,4,ContactAware,RoiFirst,504,-0.2400793650793651,True
24,8,4,ContactAware,ThreadAwarePriority,504,-0.3115079365079365,True
24,8,4,GroundOnly,Progressive,504,-0.30753968253968256,True
24,8,4,GroundOnly,QuicklookFirst,504,-0.005952380952380952,False
24,8,4,GroundOnly,RoiFirst,504,-0.2400793650793651,True
24,8,4,GroundOnly,ThreadAwarePriority,504,-0.3115079365079365,True
24,8,4,Progressive,QuicklookFirst,504,0.30158730158730157,True
24,8,4,Progressive,RoiFirst,504,0.06746031746031746,True
24,8,4,Progressive,ThreadAwarePriority,504,-0.003968253968253968,False
24,8,4,QuicklookFirst,RoiFirst,504,-0.23412698412698413,True
24,8,4,QuicklookFirst,ThreadAwarePriority,504,-0.3055555555555556,True
24,8,4,RoiFirst,ThreadAwarePriority,504,-0.07142857142857142,True
