satellites,planes,terminals,thread,tolerance_multiplier,tolerance_s,n_trials,successes,success_rate
1,1,1,MT1_TIME_SENSITIVE_CUEING,0.5,60.0,1120,0,0.0
1,1,1,MT1_TIME_SENSITIVE_CUEING,1.0,120.0,1120,0,0.0
1,1,1,MT1_TIME_SENSITIVE_CUEING,2.0,240.0,1120,0,0.0
1,1,1,MT1_TIME_SENSITIVE_CUEING,4.0,480.0,1120,0,0.0
1,1,1,MT2_ROUTE_RECON_FIRST,0.5,450.0,1120,0,0.0
1,1,1,MT2_ROUTE_RECON_FIRST,1.0,900.0,1120,9,0.008035714285714285
1,1,1,MT2_ROUTE_RECON_FIRST,2.0,1800.0,1120,20,0.017857142857142856
1,1,1,MT2_ROUTE_RECON_FIRST,4.0,3600.0,1120,55,0.049107142857142856
1,1,1,MT3_BATTLE_DAMAGE_ASSESSMENT,0.5,300.0,1120,0,0.0
1,1,1,MT3_BATTLE_DAMAGE_ASSESSMENT,1.0,600.0,1120,3,0.0026785714285714286
1,1,1,MT3_BATTLE_DAMAGE_ASSESSMENT,2.0,1200.0,1120,7,0.00625
1,1,1,MT3_BATTLE_DAMAGE_ASSESSMENT,4.0,2400.0,1120,17,0.015178571428571428
24,8,1,MT1_TIME_SENSITIVE_CUEING,0.5,60.0,1120,0,0.0
24,8,1,MT1_TIME_SENSITIVE_CUEING,1.0,120.0,1120,9,0.008035714285714285
24,8,1,MT1_TIME_SENSITIVE_CUEING,2.0,240.0,1120,24,0.02142857142857143
24,8,1,MT1_TIME_SENSITIVE_CUEING,4.0,480.0,1120,108,0.09642857142857143
24,8,1,MT2_ROUTE_RECON_FIRST,0.5,450.0,1120,81,0.07232142857142858
24,8,1,MT2_ROUTE_RECON_FIRST,1.0,900.0,1120,144,0.12857142857142856
24,8,1,MT2_ROUTE_RECON_FIRST,2.0,1800.0,1120,190,0.16964285714285715
24,8,1,MT2_ROUTE_RECON_FIRST,4.0,3600.0,1120,195,0.17410714285714285
24,8,1,MT3_BATTLE_DAMAGE_ASSESSMENT,0.5,300.0,1120,26,0.023214285714285715
24,8,1,MT3_BATTLE_DAMAGE_ASSESSMENT,1.0,600.0,1120,98,0.0875
24,8,1,MT3_BATTLE_DAMAGE_ASSESSMENT,2.0,1200.0,1120,183,0.16339285714285715
24,8,1,MT3_BATTLE_DAMAGE_ASSESSMENT,4.0,2400.0,1120,224,0.2
